extended_observation_id,source_file,api_snapshot_timestamp,ais_received_timestamp,imo,mmsi,vessel_name,vtype_raw,vessel_type,callsign,lat,lon,speed,course,nav_status,destination,eta,current_port,current_port_id,current_port_unloco,current_port_country,current_port_arr_utc,last_port,last_port_id,last_port_unloco,last_port_country,last_port_dep_utc,next_port,next_port_id,next_port_unloco,next_port_country,next_port_eta_utc,draught,size_a,size_b,size_c,size_d,gt,dwt,built,flag,avg_sog,max_sog,distance_covered,wind_knots,wind_direction,humidity,pressure,temperature,visibility,source
vessel_9607136_20260828T042132Z.json,vessel_9607136_20260828T042132Z.json,2026-08-28T04:21:32+00:00,2026-08-28T03:07:49Z,9607136,564856000,RTM DHAMBUL,7,Cabu Carrier,9V2783,-23.83336,151.51863,0.0,251,1,AU GLT,2026-08-27T06:00:00.000Z,,,,,,WEIPA,201.0,AUWEI,Australia,2026-07-24T12:47:35Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-27T06:00:00Z,11.9,195,30,22,10,38800.0,70373.0,2013.0,SG,11.5,14.8,8356.05,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9614919_20260828T042123Z.json,vessel_9614919_20260828T042123Z.json,2026-08-28T04:21:23+00:00,2026-08-28T03:05:23Z,9614919,431812000,SG UNITED,7,Cargo,7KMO,-23.8134,151.46051,0.2,149,1,AU GLT,2026-08-14T23:15:00.000Z,,,,,,KASHIMA,4730.0,JPKSM,Japan,2026-07-27T09:08:21Z,,,,,,9.9,254,38,25,20,,,,JP,10.4,14.3,4546.96,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9633159_20260828T042137Z.json,vessel_9633159_20260828T042137Z.json,2026-08-28T04:21:37+00:00,2026-08-28T03:57:06Z,9633159,636025609,MAIZURU KICHIJO,7,Bulk Carrier,5LYG9,-23.85197,151.31129,0.0,261,5,AU_GLT,2026-08-22T00:00:00.000Z,,,,,,,,,,,GLADSTONE,3859.0,AUGLT,Australia,2026-08-22T00:00:00Z,12.5,201,34,23,15,50626.0,91435.0,2012.0,LR,,,,10,ENE,62.5,1022.5,21.4,24135.3,myshiptracking_extended
vessel_9650767_20260828T042126Z.json,vessel_9650767_20260828T042126Z.json,2026-08-28T04:21:26+00:00,2026-08-28T02:55:01Z,9650767,352035000,RAGA,7,Bulk Carrier,3ETH3,-23.81918,151.48063,0.2,81,1,CN HUH>AU GLT,2026-08-18T13:00:00.000Z,,,,,,HUANGHUA,4153.0,CNHNH,China,2026-08-02T09:20:28Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-18T13:00:00Z,7.7,206,29,23,15,50615.0,95666.0,2013.0,PA,12.3,14.9,4894.23,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9689897_20260828T042135Z.json,vessel_9689897_20260828T042135Z.json,2026-08-28T04:21:35+00:00,2026-08-28T03:06:25Z,9689897,565285000,STRATEGIC HARMONY,7,Cargo,9V2289,-23.85092,151.47758,0.0,86,1,GLADSTONE,2026-08-21T12:00:00.000Z,,,,,,LUMUT,5726.0,MYLUM,Malaysia,2026-08-01T09:13:54Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-21T12:00:00Z,6.8,155,25,10,20,,,,SG,9.8,13.8,3925.87,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9694945_20260828T042125Z.json,vessel_9694945_20260828T042125Z.json,2026-08-28T04:21:25+00:00,2026-08-28T03:02:47Z,9694945,269084000,BREGAGLIA,7,Cargo,HBDU,-23.83375,151.47999,0.0,73,1,AUGLT,2026-08-24T13:30:00.000Z,,,,,,HITACHINAKA,4421.0,JPHIC,Japan,2026-08-08T10:24:31Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-24T13:30:00Z,8.1,203,37,15,23,,,,CH,10.6,13.8,3956.39,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9700823_20260828T042121Z.json,vessel_9700823_20260828T042121Z.json,2026-08-28T04:21:21+00:00,2026-08-28T03:07:35Z,9700823,352286000,CAPE HOPE,7,Cargo,3FNK4,-23.8005,151.49697,0.2,125,1,AU GLT,2026-08-16T13:00:00.000Z,,,,,,MIZUSHIMA,4285.0,JPMIZ,Japan,2026-07-19T02:00:29Z,,,,,,9.8,258,41,22,28,,,,PA,11.2,15.9,4210.23,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9708318_20260828T042133Z.json,vessel_9708318_20260828T042133Z.json,2026-08-28T04:21:33+00:00,2026-08-28T02:58:29Z,9708318,636016900,CAROLA,7,Cargo,D5II3,-23.89876,151.57304,0.2,146,1,TW TXG>AU GLT,2026-08-12T11:00:00.000Z,,,,,,TAICHUNG,411.0,TWTXG,Taiwan,2026-07-30T16:44:36Z,,,,,,9.5,200,25,21,11,,,,LR,11.8,14.8,3863.37,12,NE,67.0,1022.4,20.5,24135.3,myshiptracking_extended
vessel_9713442_20260828T042120Z.json,vessel_9713442_20260828T042120Z.json,2026-08-28T04:21:20+00:00,2026-08-28T03:06:34Z,9713442,372754000,CAPE HARVEST,7,Cargo,3FIT2,-23.84951,151.45999,0.3,126,1,AUGLT,2026-08-16T10:00:00.000Z,,,,,,MIZUSHIMA,4285.0,JPMIZ,Japan,2026-08-02T05:32:38Z,,,,,,8.8,260,40,15,35,,,,PA,10.2,15.8,4012.27,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9747390_20260828T042133Z.json,vessel_9747390_20260828T042133Z.json,2026-08-28T04:21:33+00:00,2026-08-28T02:10:53Z,9747390,538006474,DSI PEGASUS,7,Cargo,V7CG4,-23.79018,151.18005,0.0,127,5,AU GLT,2026-08-20T07:30:00.000Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-24T06:04:00Z,LIANYUNGANG,4174.0,CNLYG,China,2026-08-04T01:36:37Z,,,,,,12.8,171,29,22,10,,,,MH,,,,10,ENE,62.5,1022.5,21.4,24135.3,myshiptracking_extended
vessel_9774472_20260828T042131Z.json,vessel_9774472_20260828T042131Z.json,2026-08-28T04:21:31+00:00,2026-08-28T03:07:42Z,9774472,636017368,KANG MAY,7,Cargo,D5KO5,-23.79253,151.18373,0.1,306,5,AU GLT,2026-08-25T06:30:00.000Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-27T23:04:07Z,LONGKOU,4133.0,CNLKU,China,2026-08-04T02:56:39Z,,,,,,12.5,198,30,12,24,,,,LR,,,,10,ENE,62.5,1022.5,21.4,24135.3,myshiptracking_extended
vessel_9789831_20260828T042131Z.json,vessel_9789831_20260828T042131Z.json,2026-08-28T04:21:31+00:00,2026-08-28T03:03:55Z,9789831,636017377,JIA MAY,7,Cargo,D5KP6,-23.76622,151.49601,0.2,76,1,JP HBK>>AU GLT,2026-08-14T03:30:00.000Z,,,,,,KITAKYUSHU,4658.0,JPKKJ,Japan,2026-07-31T16:44:00Z,,,,,,7.3,198,30,12,24,,,,LR,12.1,15.1,4089.92,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9790880_20260828T042121Z.json,vessel_9790880_20260828T042121Z.json,2026-08-28T04:21:21+00:00,2026-08-28T03:05:11Z,9790880,431491000,NSU VOYAGER,7,Cargo,7JZQ,-23.77969,151.51859,0.1,171,1,AU GLT,2026-08-18T07:00:00.000Z,,,,,,NAGOYA,4715.0,JPNGO,Japan,2026-08-05T04:44:30Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-18T07:00:00Z,9.4,257,42,33,17,,,,JP,11.6,15.3,3865.44,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9802205_20260828T042128Z.json,vessel_9802205_20260828T042128Z.json,2026-08-28T04:21:28+00:00,2026-08-28T02:57:38Z,9802205,636018574,MEDI PALMAROLA,7,Cargo,D5QH9,-23.90016,151.58984,0.1,106,1,GLADSTONE,2026-08-24T13:00:00.000Z,,,,,,NEWCASTLE,314.0,AUNTL,Australia,2026-06-25T17:28:45Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-24T13:00:00Z,7.2,202,27,21,11,,,,LR,10.9,15.3,8714.54,12,NE,67.0,1022.4,20.5,24135.3,myshiptracking_extended
vessel_9815939_20260828T042128Z.json,vessel_9815939_20260828T042128Z.json,2026-08-28T04:21:28+00:00,2026-08-28T02:25:37Z,9815939,636018518,MEDI GINEVRA,7,Cargo,D5QB3,-23.88145,151.57301,0.1,159,1,AUGLT,2026-08-16T22:00:00.000Z,,,,,,MIZUSHIMA,4285.0,JPMIZ,Japan,2026-08-01T23:56:37Z,,,,,,7.5,199,30,24,12,,,,LR,11.0,15.5,4088.41,12,NE,67.0,1022.4,20.5,24135.3,myshiptracking_extended
vessel_9877872_20260828T042132Z.json,vessel_9877872_20260828T042132Z.json,2026-08-28T04:21:32+00:00,2026-08-28T03:07:35Z,9877872,538009641,SDTR ERICA,7,Cargo,V7A4987,-23.85242,151.61422,0.0,231,1,AU AMR>AU GLT,2026-08-24T14:45:00.000Z,,,,,,HUANGHUA,4153.0,CNHNH,China,2026-08-03T04:28:41Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-24T14:45:00Z,12.5,195,32,4,32,,,,MH,10.1,14.3,5051.14,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9885063_20260828T042125Z.json,vessel_9885063_20260828T042125Z.json,2026-08-28T04:21:25+00:00,2026-08-28T03:31:22Z,9885063,636020378,BRILLIANT MERCURY,7,Cargo,D5YY2,-23.81812,151.24128,0.0,138,5,AU GLT,2026-08-25T03:30:00.000Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-27T21:16:26Z,FUKUYAMA,4824.0,JPFKY,Japan,2026-08-01T00:12:37Z,,,,,,7.9,217,33,26,17,,,,LR,,,,10,ENE,62.5,1022.5,21.4,24135.3,myshiptracking_extended
vessel_9889306_20260828T042136Z.json,vessel_9889306_20260828T042136Z.json,2026-08-28T04:21:36+00:00,2026-08-28T03:06:42Z,9889306,352393000,AZUL TIERRA,7,Cargo,H9PH,-23.79716,151.5176,0.1,181,1,AU GLT,2026-08-26T21:00:00.000Z,,,,,,DALRYMPLE,133.0,AUHPT,Australia,2026-08-25T22:12:50Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-26T21:00:00Z,10.9,261,39,21,29,,,,PA,9.7,12.3,243.5,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9894818_20260828T042134Z.json,vessel_9894818_20260828T042134Z.json,2026-08-28T04:21:34+00:00,2026-08-28T03:05:19Z,9894818,538009407,DESERT NAMULI,7,Cargo,V7A4695,-23.82325,151.24626,0.0,139,5,AU GLT,2026-08-12T13:45:00.000Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-26T20:25:45Z,TIANJIN,420.0,CNTXG,China,2026-07-18T12:44:26Z,,,,,,6.8,170,29,10,22,,,,MH,,,,10,ENE,62.5,1022.5,21.4,24135.3,myshiptracking_extended
vessel_9906740_20260828T042130Z.json,vessel_9906740_20260828T042130Z.json,2026-08-28T04:21:30+00:00,2026-08-28T03:07:09Z,9906740,636021216,TAHO CIRCULAR,7,Cargo,5LCV7,-23.8323,151.49698,0.0,62,1,AUGLT,2026-08-15T00:00:00.000Z,,,,,,GLADSTONE,3859.0,AUGLT,Australia,2026-06-26T20:27:15Z,,,,,,7.4,198,31,23,14,,,,LR,11.1,15.5,7497.67,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9934204_20260828T042134Z.json,vessel_9934204_20260828T042134Z.json,2026-08-28T04:21:34+00:00,2026-08-28T04:18:09Z,9934204,477833200,JOSCO LIUZHOU,7,Cargo,VRUS9,-23.82068,151.24365,0.0,140,5,GLADSTONE,2026-08-13T03:30:00.000Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-26T22:08:25Z,DONGJIAKOU,4206.0,,China,2026-07-30T06:24:37Z,,,,,,7.1,171,29,19,13,,,,HK,,,,10,ENE,62.5,1022.5,21.4,24135.3,myshiptracking_extended
vessel_9947768_20260828T042135Z.json,vessel_9947768_20260828T042135Z.json,2026-08-28T04:21:35+00:00,2026-08-28T04:20:40Z,9947768,636093091,BBC URANUS,7,Cargo,5LFA7,-23.83292,151.26313,0.0,109,5,GLADSTONE,2026-08-24T16:00:00.000Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-27T04:07:40Z,THEVENARD,3983.0,AUTHE,Australia,2026-08-17T17:40:00Z,,,,,,8.9,151,28,18,12,,,,LR,,,,10,ENE,62.5,1022.5,21.4,24135.3,myshiptracking_extended
vessel_9990703_20260828T042135Z.json,vessel_9990703_20260828T042135Z.json,2026-08-28T04:21:35+00:00,2026-08-28T03:57:32Z,9990703,563266600,KARLA BULKER,7,Cargo,9V9536,-23.85173,151.31262,0.0,80,5,AU GLT,2026-08-26T05:00:00.000Z,,,,,,HIGASHIHARIMA,4389.0,JPHHR,Japan,2026-08-13T08:04:45Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-26T05:00:00Z,6.3,154,29,10,20,,,,SG,12.4,15.8,3861.59,10,ENE,62.5,1022.5,21.4,24135.3,myshiptracking_extended
