date,target_5tc,source,source_sentence,tc_lag_1,tc_lag_2,tc_lag_3,tc_lag_4,tc_mean_4,tc_std_4,target_date,target_next_5tc,days_to_target
2019-09-02,34583.0,https://www.drycargomag.com/dry-bulk-week-35-the-baltic-briefing,"Dry Bulk Week 35: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 35: The Baltic Briefing 02 September 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 35 Capesize The market continued to firm all week, with the 5TC closing on Friday at $34,583, up $4,146 for the week.",30437.0,29624.0,24022.0,25749.0,27458.0,3070.981059314215,2019-09-09,37921.0,7.0
2019-11-25,18930.0,https://www.drycargomag.com/dry-bulk-week-47-the-baltic-briefing,"Dry Bulk Week 47: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 47: The Baltic Briefing 25 November 2019 Dry Bulk Bulk report – Week 47 Capesize After a week of value being eroded on the Capesize market, Friday brought improved sentiment across most of the routes. The 5TC average opened the week at $20,970 and closed out Friday up $580 to settle at $18,930, illustrating clearly the deteriorating condition of the market. While the Pacific Basin maintained its usual constant flow, improved sentiment built in the Atlantic Basin. Bids were heard to be firmly up across all routes. The Brazil to China C3 route opened the week at $19.04, reaching a midweek low of $18.225. However, with Fridays jump of 72.5 cents, the route settled at almost parity at $19.03 pushing into the weekend. While this current lift is encouraging for a possible last market push before the end of the year, trade activity overall hasn’t been reassuring. But as eyes drift to the New Year, and improved clarity post IMO changes, traders are sure to have plans in mind which will hopefully bring improved activity. Panamax It was a somewhat mixed bag in the market this week, despite very few pockets of resistance and a hefty softening of rates throughout the week. In the Atlantic, aside from the North Continent/Baltic trades which held steady, the longer fronthaul trips from the US Gulf and East Coat South America (ECSA) came under severe pressure. A 76,000dwt ship was fixed at $9,500 fro",25117.0,23675.0,31470.0,37921.0,29545.75,6530.1118609612395,2019-12-02,23865.0,7.0
2019-12-02,23865.0,https://www.drycargomag.com/dry-bulk-week-48-the-baltic-brefing,"ine Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 48: The Baltic Brefing 02 December 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 48 Capesize The market has been well supported over the past week, led primarily by the Atlantic Basin. After bottoming last week, sentiment was seen to improve strongly, with both paper and physical traders buying into the rally. Opening the week at $18,930 on the Capesize 5TC, it has now lifted to $23,865. Traders had been eyeing up the second half of December, loading windows out of Brazil in recent weeks citing likely tonnage tightness. They weren’t disappointed as C3 was seen to open the week at $19.030, to end the week at $22.375. Furthermore, into the North Atlantic a flurry of fronthaul business, now beginning to incorporate ice zone premiums, have kept the basin under tonnage supply pressure heading into the final month of the year. The Pacific Basin struggled to counter the improved sentiment and was seen to lift early in the week past mid $9’s on C5 with a very healthy flow of fixtures being heard. C5 closed out the week at $9.95 with talk of $10.00 being concluded. Panamax There were significant gains this week, the Atlantic leading the charge, with the Skaw to Gibraltar Transatlantic round-trip route P1A_82, gaining more than $2,500 in value on the week. Stronger levels were concluded on the Baltic trades, with an 80,000dwt ship achieving $13,500 for a trip Skaw-Gibraltar. On the longer Transatlantic trips, an 82,000dwt vessel agreed $10,500 delivery. The East Coast South America (ECSA) grain front haul activity saw healthy volumes of fixing",18930.0,25117.0,23675.0,31470.0,24798.0,5174.03446709303,2019-12-09,23704.0,7.0
2019-12-09,23704.0,https://www.drycargomag.com/dry-bulk-week-49-the-baltic-briefing,"The Capesize 5TC closed the week down -$525 to settle at $23,704.",23865.0,18930.0,25117.0,23675.0,22896.75,2720.771750196377,2019-12-16,18002.0,7.0
2020-01-06,10825.0,https://www.drycargomag.com/dry-bulk-week-1,"minals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 1 06 January 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The New Year started with an erosion on pre-Christmas rates as the higher low sulphur fuel costs due to IMO 2020 affected levels. From Brazil the route is now assessed at close to $18.50, whilst from West Australia, several vessels were fixed at various levels which eventually settled at over 50 cents less to just under $7. With vessels having differing bunkering strategies, it will be a few days for TC levels to become more visible, but they too lost value. A Pacific round voyage at week’s end was assessed at $6,200 and the 5TC average at $10,825 which, on 24 December 2019, were at $11,525 and $14,337 respectively. There was talk of a vessel fixing for Bolivar/Rotterdam plus an option for Turkey loading end January, but full details have not been disclosed. Some are suggesting tonnage availability might be tightening there. Panamax As the new calendar year begun and bunker fuel legislation came into effect, rates remained severely under pressure in most areas. The new larger 82,500dwt vessel is now the benchmark BPI vessel. With talk of an ever-growing tonnage list in the Pacific, charterers are now generally bidding tonnage basis delivery Arrival Pilot Station (APS), plus a ballast bonus as opposed to Dropping Outward Pilot (DOP). Consequently, owners are now faced with difficult decisions to make. In the Atlantic a couple of 82,000dwt vessels achieved $14,250 plus $425,000 ballast bonus basis delivery East Coast South America for grain trips to Southeast Asia, with the low being an 81,000dwt ship agreeing $13,000 plus $315,000 ballast bonus for a similar trip. Earlier in the week a 75,000dwt vessel achieved $13,000 for a Baltic round trip back to the continent. In Asia, an 81,000dwt ship agreed $7,000 ",18002.0,23704.0,23865.0,18930.0,21125.25,3094.618702953024,2020-01-13,9438.0,7.0
2020-01-13,9438.0,https://www.drycargomag.com/dry-bulk-week-2,"Opening the week at $10,825, the Capesize 5TC fell away to $9,020, before staging a small rally to close Friday at $9,438.",10825.0,18002.0,23704.0,23865.0,19099.0,6153.136490170412,2020-01-20,8352.0,7.0
2020-01-20,8352.0,https://www.drycargomag.com/dry-bulk-week-3,"While the Capesize 5TC still softened marginally, opening the week at $9,438 and closing it at $8,352, market fundamentals appear to have stabilised with a dismal floor for owners in the Pacific and a tight tonnage situation in the Atlantic commanding a premium.",9438.0,10825.0,18002.0,23704.0,15492.25,6637.490709346917,2020-01-27,4772.0,7.0
2020-02-17,2445.0,https://www.drycargomag.com/dry-bulk-week-7,"The Capesize 5TC opened the week at $2,660 to close out at $2,445.",4772.0,8352.0,9438.0,10825.0,8346.75,2589.1707005654634,2020-02-24,2787.0,7.0
2020-02-24,2787.0,https://www.drycargomag.com/dry-bulk-week-8,"The Capesize 5TC opened the week at $2,445 to close out the week at $2,787.",2445.0,4772.0,8352.0,9438.0,6251.75,3227.188908322534,2020-03-02,2274.0,7.0
2020-03-02,2274.0,https://www.drycargomag.com/dry-bulk-week-9,"g & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 9 02 March 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market woes related to Coronavirus have now spread through the wider global markets like wildfire. The wider supply and demand and operational ramifications now seem painfully clear. With Capes already trolling the bottom of the market there was little left to be squeezed out of it this week. With oil prices bearing the brunt of poor forecast demands in the coming months, traders kept a close eye on the declining fuel costs. This added a little volatility as route earnings improved to quickly readjust down once again. The Capesize 5TC, now $2,274, has remained below $3,000 for three weeks straight, whilst market conditions seemingly continue to deteriorate. The West Australia to China C5 opened the week at $5.99 to close out the week at $5.20. The Brazil to China C3, which is still lacking in any solid spot cargo flow, opened the week at $13.015 to close at $12.585. In other news the VLOC ‘Stella Banner’ (300,660 dwt) laden with 294,000mt iron ore has been reported to have intentionally grounded to avoid capsizing shortly after leaving the port of Ponta Da Madeira, Brazil. Panamax Last week witnessed plenty of improvement in the market aided with bunker prices falling, sentiment now seems generally optimistic. The North Atlantic trades continued to struggle, but with fronthaul volume increasing from East Coast South America (ECSA), particularly end March/early April shipments, rates improved. However, several still viewed current levels within the Atlantic as a good buying opportunity and took cover by booking tonnage for two-to-three laden legs within the Atlantic. The highlight rate on Arrival Pilot Station (APS) ECSA, basis being $14,700 plus $470,000 ballast bonus on an 82,000dwt ship. $11,000 was also conc",2787.0,2445.0,4772.0,8352.0,4589.0,2710.3258106729513,2020-03-09,2542.0,7.0
