route_id,assessment_date,origin,destination,vessel_class,cargo_type,source_name,data_type,mvp_core,is_east_coast_india,base_route_freight_rate,freight_rate_unit,scenario,current_5tc,scenario_5tc,market_multiplier,scenario_route_freight_rate,cargo_quantity_mt,distance_nm,distance_source,speed_knots,sea_days,port_days,total_voyage_days,bunker_consumption_mt_per_day,fuel_consumption_mt,daily_opex_usd,other_voyage_cost_usd,assumption_flag,bunker_price_usd_per_mt,bunker_reference_date,bunker_cost_usd,opex_cost_usd,total_voyage_cost_usd,freight_revenue_usd,estimated_profit_usd,route_feasibility,economics_method,market_scaling_assumption
3,2021-08-06,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,The Shipping Tribune / Platts,estimate,No,No,18.45,$/mt,base,41155.0,41155.0,1.0,18.45,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1007831.25,644316.625,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
3,2021-08-06,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,The Shipping Tribune / Platts,estimate,No,No,18.45,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,26.3814638199598,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1441087.461165304,1077572.836165304,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
4,2021-08-06,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,The Shipping Tribune,reported fixture,No,Yes,23.3,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,17.894340018390636,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1317470.7838540105,953956.1588540105,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
4,2021-08-06,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,The Shipping Tribune,reported fixture,No,Yes,23.3,$/mt,base,41155.0,41155.0,1.0,23.3,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1715462.5,1351947.875,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
4,2021-08-06,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,The Shipping Tribune,reported fixture,No,Yes,23.3,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,33.31642856396007,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,2452922.0530215604,2089407.4280215604,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
5,2021-08-12,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,The Shipping Tribune / Platts,estimate,Yes,Yes,21.1,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,16.20474568189023,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1193074.4008291683,829559.7758291683,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
5,2021-08-12,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,The Shipping Tribune / Platts,estimate,Yes,Yes,21.1,$/mt,base,41155.0,41155.0,1.0,21.1,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1553487.5,1189972.875,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
5,2021-08-12,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,The Shipping Tribune / Platts,estimate,Yes,Yes,21.1,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,30.170671360496037,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,2221315.678916521,1857801.053916521,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
6,2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,The Shipping Tribune / Platts,estimate,No,Yes,11.8,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,9.062369623047617,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,667216.9634968808,303702.33849688084,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
6,2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,The Shipping Tribune / Platts,estimate,No,Yes,11.8,$/mt,base,41155.0,41155.0,1.0,11.8,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,868775.0,505260.375,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
