source_file,report_date,vessel_or_tbn,origin,destination,cargo_quantity_mt,laycan_start,laycan_end,freight_rate,match_status,matched_contract_id,matched_route_id,origin_match,destination_match,match_reason,matched_contract_origin,matched_contract_destination,matched_contract_vessel_class
report_00006.html,13.07.2026,Classic TBN,Saldanha Bay,Qingdao,170000.0,2026-08-01,2026-08-05,23.49,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00006.html,13.07.2026,TBN,Dampier,Qingdao,170000.0,2026-07-27,2026-07-29,13.45,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00006.html,13.07.2026,TBN,Port Hedland,Qingdao,160000.0,2026-07-27,2026-07-29,13.45,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00006.html,13.07.2026,TBN,coal HPCT-APCT-DBCT-Gladstone,Vizag,75000.0,2026-08-10,2026-08-19,21.5,RELATED,CONTRACT_000,0.0,EXACT,NO_MATCH,origin=EXACT; destination=NO_MATCH,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax
report_00007.html,21.07.2026,TBN,Dampier,Qingdao,170000.0,2026-08-06,2026-08-08,11.1,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00007.html,21.07.2026,Excel,170000/10 Acu/Qingdao,,2012.0,2026-08-17,2026-08-22,32.45,REVIEW,,,,,DESTINATION_NOT_PARSED,,,
report_00007.html,21.07.2026,Genco Augustus,170000/10 Tubarao option West Africa/Qingdao,,2007.0,2026-08-10,2026-08-15,32.15,REVIEW,,,,,DESTINATION_NOT_PARSED,,,
report_00007.html,21.07.2026,Pan Ocean TBN,Abbot Point,Donghae,58000.0,2026-08-05,2026-08-14,19.89,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00009.html,29.07.2026,TBN,Dampier,Qingdao,170000.0,2026-08-13,2026-08-15,11.85,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00009.html,29.07.2026,Jutta,170000/10 Tubarao option West Africa/Qingdao,,2016.0,2026-08-17,2026-08-21,32.1,REVIEW,,,,,DESTINATION_NOT_PARSED,,,
report_00009.html,29.07.2026,TBN,Mobile,Erdemir,75000.0,2026-08-15,2026-08-24,32.5,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00009.html,29.07.2026,,,,,,,,REVIEW,,,,,VOYAGE_PATTERN_NOT_MATCHED,,,
report_00009.html,29.07.2026,TBN,Santos,China,63000.0,2026-08-15,2026-08-20,50.0,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00009.html,29.07.2026,TBN,Santos,China,63000.0,2026-08-20,2026-08-30,49.75,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00010.html,04.08.2026,TBN,Dampier,Qingdao,170000.0,2026-08-18,2026-08-20,15.0,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00010.html,04.08.2026,Aanya,170000/10 Tubarao option West Africa/Qingdao,,2012.0,2026-09-07,2026-09-12,35.75,REVIEW,,,,,DESTINATION_NOT_PARSED,,,
report_00010.html,04.08.2026,,,,,,,,REVIEW,,,,,VOYAGE_PATTERN_NOT_MATCHED,,,
report_00010.html,04.08.2026,Korea Line TBN,DBCT,EC India,80000.0,2026-09-01,2026-09-10,22.65,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00010.html,04.08.2026,TBN,Vancouver,Nansha,65000.0,2026-09-01,2026-09-01,35.0,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00012.html,19.08.2026,Bulk Joyance,160000/10 Port Hedland/Qingdao,,2012.0,2026-09-05,2026-09-07,13.55,REVIEW,,,,,DESTINATION_NOT_PARSED,,,
report_00012.html,19.08.2026,,,,,,,,REVIEW,,,,,VOYAGE_PATTERN_NOT_MATCHED,,,
report_00012.html,19.08.2026,TBN,Newport News opt Norfolk,EC India,75000.0,2026-09-21,2026-09-30,51.2,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00012.html,19.08.2026,Cosco TBN,Itaqui,Qingdao,64000.0,2026-09-15,2026-09-30,54.15,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
