observation_id,source_file,source_file_type,api_snapshot_timestamp,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,vtype7_bulk_candidate,lat,lon,speed,course,nav_status,destination,zone_name,source,raw_record_index,exact_duplicate_observation,imo_observation_sequence,ext_mmsi,ext_vessel_name,ext_vtype_raw,vessel_type,callsign,dwt,gt,built,draught,size_a,size_b,size_c,size_d,flag,ext_destination,eta,current_port,current_port_id,current_port_unloco,current_port_country,current_port_arr_utc,last_port,last_port_id,last_port_unloco,last_port_country,last_port_dep_utc,next_port,next_port_id,next_port_unloco,next_port_country,next_port_eta_utc,avg_sog,max_sog,distance_covered,wind_knots,wind_direction,humidity,pressure,temperature,visibility,_merge,extended_metadata_available,derived_vessel_class,vessel_age_years,metadata_fields_available,metadata_completeness_ratio,is_bulk_carrier,is_extended_verified,is_recent_6h,usable_bulk_observation,next_port_eta_datetime
zone_australia_gladstone_hay_point_20260828T041615Z.json_11,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:08:02Z,68.21666666666667,9599078,311001257,POPEYE,7,True,-23.81556,151.2388,0.0,138.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,11,True,1,311001257.0,POPEYE,7.0,Bulk Carrier,C6GI7,98730.0,51905.0,2013.0,8.3,211.0,29.0,24.0,14.0,BS,AU HPT,2026-08-29T20:00:00.000Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-27T18:05:35Z,QINGDAO,4157.0,CNQDG,China,2026-07-29T01:28:37Z,DALRYMPLE,133.0,AUHPT,Australia,2026-08-29T20:00:00Z,,,,10.0,ENE,62.5,1022.5,21.4,24135.3,both,True,BULK_CARRIER,13.0,7,1.0,True,True,True,True,
zone_australia_gladstone_hay_point_20260828T041615Z.json_12,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T02:55:01Z,81.23333333333333,9650767,352035000,RAGA,7,True,-23.81918,151.48063,0.2,81.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,12,True,1,352035000.0,RAGA,7.0,Bulk Carrier,3ETH3,95666.0,50615.0,2013.0,7.7,206.0,29.0,23.0,15.0,PA,CN HUH>AU GLT,2026-08-18T13:00:00.000Z,,,,,,HUANGHUA,4153.0,CNHNH,China,2026-08-02T09:20:28Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-18T13:00:00Z,12.3,14.9,4894.23,12.0,ENE,73.7,1022.7,19.9,24135.3,both,True,BULK_CARRIER,13.0,7,1.0,True,True,True,True,
zone_australia_gladstone_hay_point_20260828T041615Z.json_13,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T02:15:07Z,121.13333333333334,9290971,441609000,ORIENTAL ENTERPRISE,7,True,-23.83007,151.60824,0.0,158.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,13,True,1,441609000.0,ORIENTAL ENTERPRISE,7.0,Bulk Carrier,D7CK,88125.0,48042.0,2004.0,7.6,196.0,34.0,22.0,16.0,KR,AUGLT,2026-08-13T00:00:00.000Z,,,,,,BORYEONG,5482.0,KRBOR,Korea,2026-06-21T05:17:27Z,,,,,,11.1,14.3,4838.22,12.0,ENE,73.7,1022.7,19.9,24135.3,both,True,BULK_CARRIER,22.0,5,0.7142857142857143,True,True,True,True,
zone_australia_gladstone_hay_point_20260828T041615Z.json_14,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T02:57:38Z,78.61666666666666,9802205,636018574,MEDI PALMAROLA,7,True,-23.90016,151.58984,0.1,106.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,14,True,1,636018574.0,MEDI PALMAROLA,7.0,Cargo,D5QH9,,,,7.2,202.0,27.0,21.0,11.0,LR,GLADSTONE,2026-08-24T13:00:00.000Z,,,,,,NEWCASTLE,314.0,AUNTL,Australia,2026-06-25T17:28:45Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-24T13:00:00Z,10.9,15.3,8714.54,12.0,NE,67.0,1022.4,20.5,24135.3,both,True,BULK_CARRIER,,4,0.5714285714285714,True,True,True,True,
zone_australia_gladstone_hay_point_20260828T041615Z.json_15,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:06:24Z,69.85,9454905,210083000,EFESSOS WAVE,7,True,-23.86487,151.59145,0.0,122.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,15,True,1,210083000.0,EFESSOS WAVE,7.0,Bulk Carrier,5BPG3,87332.0,47984.0,2012.0,7.2,199.0,30.0,13.0,24.0,CY,AU GLT,2026-08-24T21:00:00.000Z,,,,,,NEWCASTLE,314.0,AUNTL,Australia,2026-06-23T07:07:31Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-24T21:00:00Z,9.2,13.5,7521.73,12.0,ENE,73.7,1022.7,19.9,24135.3,both,True,BULK_CARRIER,14.0,7,1.0,True,True,True,True,
zone_australia_gladstone_hay_point_20260828T041615Z.json_16,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:07:09Z,69.1,9906740,636021216,TAHO CIRCULAR,7,True,-23.8323,151.49698,0.0,62.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,16,True,1,636021216.0,TAHO CIRCULAR,7.0,Cargo,5LCV7,,,,7.4,198.0,31.0,23.0,14.0,LR,AUGLT,2026-08-15T00:00:00.000Z,,,,,,GLADSTONE,3859.0,AUGLT,Australia,2026-06-26T20:27:15Z,,,,,,11.1,15.5,7497.67,12.0,ENE,73.7,1022.7,19.9,24135.3,both,True,BULK_CARRIER,,2,0.2857142857142857,True,True,True,True,
zone_australia_gladstone_hay_point_20260828T041615Z.json_17,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T02:25:37Z,110.63333333333334,9815939,636018518,MEDI GINEVRA,7,True,-23.88145,151.57301,0.1,159.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,17,True,1,636018518.0,MEDI GINEVRA,7.0,Cargo,D5QB3,,,,7.5,199.0,30.0,24.0,12.0,LR,AUGLT,2026-08-16T22:00:00.000Z,,,,,,MIZUSHIMA,4285.0,JPMIZ,Japan,2026-08-01T23:56:37Z,,,,,,11.0,15.5,4088.41,12.0,NE,67.0,1022.4,20.5,24135.3,both,True,BULK_CARRIER,,2,0.2857142857142857,True,True,True,True,
zone_australia_gladstone_hay_point_20260828T041615Z.json_18,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:06:05Z,70.16666666666667,102579600,636024708,BH PROGRESS,7,True,-23.78191,151.47799,0.0,75.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,18,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,False,BULK_CARRIER,,0,0.0,True,False,True,True,
zone_australia_gladstone_hay_point_20260828T041615Z.json_19,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:03:55Z,72.33333333333333,9789831,636017377,JIA MAY,7,True,-23.76622,151.49601,0.2,76.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,19,True,1,636017377.0,JIA MAY,7.0,Cargo,D5KP6,,,,7.3,198.0,30.0,12.0,24.0,LR,JP HBK>>AU GLT,2026-08-14T03:30:00.000Z,,,,,,KITAKYUSHU,4658.0,JPKKJ,Japan,2026-07-31T16:44:00Z,,,,,,12.1,15.1,4089.92,12.0,ENE,73.7,1022.7,19.9,24135.3,both,True,BULK_CARRIER,,2,0.2857142857142857,True,True,True,True,
zone_australia_gladstone_hay_point_20260828T041615Z.json_20,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:07:42Z,68.55,9774472,636017368,KANG MAY,7,True,-23.79253,151.18373,0.1,306.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,20,True,1,636017368.0,KANG MAY,7.0,Cargo,D5KO5,,,,12.5,198.0,30.0,12.0,24.0,LR,AU GLT,2026-08-25T06:30:00.000Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-27T23:04:07Z,LONGKOU,4133.0,CNLKU,China,2026-08-04T02:56:39Z,,,,,,,,,10.0,ENE,62.5,1022.5,21.4,24135.3,both,True,BULK_CARRIER,,2,0.2857142857142857,True,True,True,True,
