imo,vessel_name,route_id,origin,destination,departure_date,estimated_eta,vessel_dwt,vessel_dwt_class,cargo_quantity_mt,reposition_distance_nm,reposition_hours,route_distance_nm,route_speed_knots,total_voyage_hours,total_voyage_days,bear_profit_usd,base_profit_usd,bull_profit_usd,expected_profit_usd,worst_case_profit_usd,best_case_profit_usd,objective_profit_usd,departure_dt,eta_dt,decision_id,selected
9519779,MINERAL STONEHENGE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",2026-09-01,2026-09-20 02:33:33.020025825+00:00,175713.0,,73625.0,195.1375216099103,16.26146013415919,4926.710066752748,12.0,458.5591722293957,19.10663217622482,1961629.7030262216,2764445.611131865,4252024.967012267,2992700.0937234513,1961629.7030262216,4252024.967012267,1961629.7030262216,2026-09-01 00:00:00+00:00,2026-09-20 02:33:33.020025825+00:00,V9519779_R0_D20260901,1
9587350,ANABELA,20,East Coast Australia,East Coast India,2026-09-01,2026-09-21 12:08:52.530079941+00:00,177029.0,,166250.0,237.077438556276,19.756453213023,5329.775100266468,12.0,492.1479250222057,20.506163542591903,1751061.700185706,2505113.5672018854,3902335.494808152,2719503.587398581,1751061.700185706,3902335.494808152,1751061.700185706,2026-09-01 00:00:00+00:00,2026-09-21 12:08:52.530079941+00:00,V9587350_R20_D20260901,1
9290971,ORIENTAL ENTERPRISE,5,"Hay Point, Australia","Paradip, India",2026-09-03,2026-09-22 00:15:00.475562224+00:00,88125.0,,73625.0,199.7956193641104,16.6496349470092,4899.001585207413,12.0,456.25013210061775,19.01042217085908,500523.426299452,860936.5254702837,1528764.7043868047,963408.2187188468,500523.426299452,1528764.7043868047,500523.426299452,2026-09-03 00:00:00+00:00,2026-09-22 00:15:00.475562224+00:00,V9290971_R5_D20260903,1
9324502,WHITE ROSE,10,Indonesia,"Paradip, India",2026-09-06,2026-09-16 22:55:19.195249904+00:00,171827.0,,54625.0,2331.6245514149614,194.3020459512468,2579.063984166344,12.0,262.92199868052865,10.95508327835536,483886.8554293813,753824.7506805515,1254006.7180421222,830572.7747173518,483886.8554293813,1254006.7180421222,483886.8554293813,2026-09-06 00:00:00+00:00,2026-09-16 22:55:19.195249904+00:00,V9324502_R10_D20260906,1
9465186,ES GLORY SEA,11,"Hay Point, Australia","Visakhapatnam, India",2026-09-06,2026-09-25 02:33:33.020025825+00:00,177000.0,,73625.0,191.65418072113025,15.971181726760852,4926.710066752748,12.0,458.5591722293957,19.10663217622482,878815.7326054362,1354526.8611318655,2235996.7560524866,1489779.783263263,878815.7326054362,2235996.7560524866,878815.7326054362,2026-09-06 00:00:00+00:00,2026-09-25 02:33:33.020025825+00:00,V9465186_R11_D20260906,1
9607136,RTM DHAMBUL,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2026-09-06,2026-09-21 15:09:31.159862762+00:00,70373.0,,54625.0,2435.694691007629,202.97455758396907,3925.90386620921,12.0,375.15865551743417,15.631610646559755,537820.2656598565,873658.4921460542,1495950.611163971,969143.1229899606,537820.2656598565,1495950.611163971,537820.2656598565,2026-09-06 00:00:00+00:00,2026-09-21 15:09:31.159862762+00:00,V9607136_R13_D20260906,1
9633159,MAIZURU KICHIJO,22,Indonesia,West Coast India,2026-09-06,2026-09-21 15:25:14.169031453+00:00,91435.0,,73625.0,2325.019658092106,193.75163817434216,3929.0472301048458,12.0,375.4206025087372,15.642525104530714,426538.176199725,728875.230954404,1289091.2862540442,814834.8978027244,426538.176199725,1289091.2862540442,426538.176199725,2026-09-06 00:00:00+00:00,2026-09-21 15:25:14.169031453+00:00,V9633159_R22_D20260906,1
9599078,POPEYE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",2026-09-06,2026-09-16 08:41:30.373981627+00:00,98730.0,,73625.0,2454.0318560817223,204.50265467347683,2408.301246605427,12.0,248.69177055045225,10.362157106268844,278349.81671025034,479907.8532133696,853385.22341313,537214.2977789167,278349.81671025034,853385.22341313,278349.81671025034,2026-09-06 00:00:00+00:00,2026-09-16 08:41:30.373981627+00:00,V9599078_R6_D20260906,1
9454905,EFESSOS WAVE,17,"Queensland, Australia","Haldia, India",2026-09-07,2026-09-25 10:21:45.174865291+00:00,87332.0,,73625.0,400.38765916573095,33.365638263810915,4732.350582884308,12.0,442.3625485736923,18.43177285723718,475607.6485746149,822355.7961181165,1464863.4753600769,920942.3066842695,475607.6485746149,1464863.4753600769,475607.6485746149,2026-09-07 00:00:00+00:00,2026-09-25 10:21:45.174865291+00:00,V9454905_R17_D20260907,1
9603398,CAPE RAINBOW,21,Indonesia,East Coast India,2026-09-07,2026-09-17 22:55:19.195249904+00:00,207886.0,,166250.0,2333.99602554844,194.4996687957033,2579.063984166344,12.0,262.92199868052865,10.95508327835536,1818320.7824231428,2491374.7506805514,3738511.458441642,2682735.6638484453,1818320.7824231428,3738511.458441642,1818320.7824231428,2026-09-07 00:00:00+00:00,2026-09-17 22:55:19.195249904+00:00,V9603398_R21_D20260907,1
9650767,RAGA,4,"Hay Point, Australia","Visakhapatnam, India",2026-09-07,2026-09-26 02:33:33.020025825+00:00,95666.0,,73625.0,194.7735012342648,16.231125102855398,4926.710066752748,12.0,458.5591722293957,19.10663217622482,621541.3949858759,1019533.1111318654,1756992.664153426,1132689.056757056,621541.3949858759,1756992.664153426,621541.3949858759,2026-09-07 00:00:00+00:00,2026-09-26 02:33:33.020025825+00:00,V9650767_R4_D20260907,1
