date,bdi_close,bdi_return_1d,bdi_return_7d,bdi_ma_7,bdi_ma_30,bdi_volatility_30d,dataset_role
2015-01-13,762.0,,,,,,market_bdi
2015-01-14,757.0,-0.006561679790026198,,,,,market_bdi
2015-01-15,749.0,-0.010568031704095149,,,,,market_bdi
2015-01-16,741.0,-0.010680907877169576,,,,,market_bdi
2015-01-19,739.0,-0.0026990553306343035,,,,,market_bdi
2015-01-20,753.0,0.018944519621109546,,,,,market_bdi
2015-01-21,770.0,0.02257636122177953,,753.0,,,market_bdi
2015-01-22,751.0,-0.024675324675324628,-0.014435695538057791,751.4285714285714,,,market_bdi
2015-01-23,720.0,-0.04127829560585883,-0.04887714663143994,746.1428571428571,,,market_bdi
2015-01-26,703.0,-0.023611111111111138,-0.061415220293724926,739.5714285714286,,,market_bdi
2015-01-27,688.0,-0.02133712660028453,-0.07152496626180838,732.0,,,market_bdi
2015-01-28,666.0,-0.03197674418604646,-0.0987821380243572,721.5714285714286,,,market_bdi
2015-01-29,632.0,-0.05105105105105101,-0.16069057104913675,704.2857142857143,,,market_bdi
2015-01-30,608.0,-0.03797468354430378,-0.21038961038961035,681.1428571428571,,,market_bdi
2015-02-13,530.0,-0.1282894736842105,-0.2942743009320905,649.5714285714286,,,market_bdi
2015-02-16,522.0,-0.015094339622641506,-0.275,621.2857142857143,,,market_bdi
2015-02-17,516.0,-0.011494252873563204,-0.2660028449502134,594.5714285714286,,,market_bdi
2015-02-18,509.0,-0.013565891472868241,-0.2601744186046512,569.0,,,market_bdi
2015-02-23,512.0,0.005893909626718985,-0.23123123123123124,547.0,,,market_bdi
2015-02-24,516.0,0.0078125,-0.18354430379746833,530.4285714285714,,,market_bdi
2015-02-25,524.0,0.015503875968992276,-0.13815789473684215,518.4285714285714,,,market_bdi
2015-02-26,533.0,0.01717557251908386,0.005660377358490676,518.8571428571429,,,market_bdi
2015-02-27,540.0,0.013133208255159401,0.034482758620689724,521.4285714285714,,,market_bdi
2015-03-13,562.0,0.040740740740740744,0.08914728682170536,528.0,,,market_bdi
2015-03-16,564.0,0.003558718861210064,0.10805500982318272,535.8571428571429,,,market_bdi
2015-03-17,568.0,0.007092198581560183,0.109375,543.8571428571429,,,market_bdi
2015-03-18,571.0,0.005281690140845008,0.10658914728682167,551.7142857142857,,,market_bdi
2015-03-19,584.0,0.022767075306479923,0.11450381679389321,560.2857142857143,,,market_bdi
2015-03-20,591.0,0.011986301369863117,0.10881801125703561,568.5714285714286,,,market_bdi
2015-03-23,594.0,0.0050761421319796,0.10000000000000009,576.2857142857143,625.8333333333334,,market_bdi
2015-03-24,597.0,0.005050505050504972,0.06227758007117434,581.2857142857143,620.3333333333334,0.031113779659643417,market_bdi
2015-03-25,598.0,0.0016750418760469454,0.06028368794326244,586.1428571428571,615.0333333333333,0.03115964643893648,market_bdi
2015-03-26,598.0,0.0,0.052816901408450745,590.4285714285714,610.0,0.031181556675136377,market_bdi
2015-03-27,596.0,-0.0033444816053511683,0.04378283712784592,594.0,605.1666666666666,0.031180315568033305,market_bdi
2015-03-30,599.0,0.005033557046979942,0.02568493150684925,596.1428571428571,600.5,0.031246740596317015,market_bdi
2015-03-31,602.0,0.005008347245408995,0.01861252115059231,597.7142857142857,595.4666666666667,0.030957989142459723,market_bdi
