report_date,source_file,vessel_or_tbn,vessel_dwt,vessel_class,cargo_section,cargo_type,origin_raw,destination_raw,cargo_quantity_mt,laycan_raw,laycan_start,laycan_end,laycan_status,freight_rate,rate_unit,raw_text,parse_status,parse_reason,production_ready,normalization_reason,laycan_relative_status,current_operational_snapshot,safe_for_current_scheduling,origin_normalized,destination_normalized,lane_key
2026-07-08,report_00005.html,Alba,,,,,170000/10 Tubarao/Qingdao,,2012.0,25/30 Jul,2026-07-25,2026-07-30,PARSED,32.5,$/mt,'Alba' 2012 170000/10 Tubarao/Qingdao 25/30 Jul $32.50 fio 3 days shinc/30000shinc - Cosco,PARSED,DESTINATION_NOT_PARSED,False,NO_DESTINATION,KNOWN_HISTORICAL_OR_REPORTED,False,False,170000/10 Tubarao/Qingdao,,170000/10 tubarao/qingdao -> 
2026-07-08,report_00005.html,TBN,,,,,Port Hedland,Qingdao,160000.0,23/25 Jul,2026-07-23,2026-07-25,PARSED,13.0,$/mt,'TBN' 160000/10 Port Hedland/Qingdao 23/25 Jul $13.00 fio 80000shinc/30000shinc - BHP,PARSED,OK,True,OK,KNOWN_HISTORICAL_OR_REPORTED,False,False,Port Hedland,Qingdao,port hedland -> qingdao
2026-07-08,report_00005.html,TBN,,,,,coal Nacala,Gangavaram,75000.0,5/14 Aug,2026-08-05,2026-08-14,PARSED,17.7,$/mt,'TBN' 75000/10 coal Nacala/Gangavaram 5/14 Aug $17.70 fio 33000shinc/40000shinc - NSL,PARSED,OK,True,OK,KNOWN_HISTORICAL_OR_REPORTED,False,False,coal Nacala,Gangavaram,coal nacala -> gangavaram
2026-07-08,report_00005.html,TBN,,,,,coal NQXT-APCT-DBCT- Gladstone,EC India,75000.0,10/19 Aug,2026-08-10,2026-08-19,PARSED,19.65,$/mt,'TBN' 75000/10 coal NQXT-APCT-DBCT- Gladstone / EC India 10/19 Aug $19.65 fio 40000shinc/40000shinc - SAIL,PARSED,OK,True,OK,KNOWN_HISTORICAL_OR_REPORTED,False,False,coal NQXT-APCT-DBCT- Gladstone,EC India,coal nqxt-apct-dbct- gladstone -> ec india
2026-07-08,report_00005.html,,,,,,,,,,,,NOT_PARSED,,$/mt,GRAIN 'TBN' 60000/10 grains Santos/Gdynia 14/21 Aug $30.90 fio 8000sshex/15000sshex - LDC,REVIEW,VOYAGE_REGEX_NO_MATCH,False,UPSTREAM_PARSE_REVIEW;NO_FREIGHT_RATE;NO_CARGO_QUANTITY;NO_ORIGIN;NO_DESTINATION;NO_LAYCAN_START,UNKNOWN,False,False,,, -> 
2026-07-13,report_00006.html,TBN,,,,,Dampier,Qingdao,170000.0,27/29 Jul,2026-07-27,2026-07-29,PARSED,13.45,$/mt,'TBN' 170000/10 Dampier/Qingdao 27/29 Jul $13.45 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK,True,OK,KNOWN_HISTORICAL_OR_REPORTED,False,False,Dampier,Qingdao,dampier -> qingdao
2026-07-13,report_00006.html,TBN,,,,,Port Hedland,Qingdao,160000.0,27/29 Jul,2026-07-27,2026-07-29,PARSED,13.45,$/mt,'TBN' 160000/10 Port Hedland/Qingdao 27/29 Jul $13.45 fio 80000shinc/30000shinc - BHP,PARSED,OK,True,OK,KNOWN_HISTORICAL_OR_REPORTED,False,False,Port Hedland,Qingdao,port hedland -> qingdao
2026-07-13,report_00006.html,,,,,,,,,,,,NOT_PARSED,,$/mt,COAL 'TBN' 75000/10 coal HPCT-APCT-DBCT-Gladstone/Vizag 10/19 Aug $21.50 fio 40000shinc/40000shinc - SAIL,REVIEW,VOYAGE_REGEX_NO_MATCH,False,UPSTREAM_PARSE_REVIEW;NO_FREIGHT_RATE;NO_CARGO_QUANTITY;NO_ORIGIN;NO_DESTINATION;NO_LAYCAN_START,UNKNOWN,False,False,,, -> 
2026-07-21,report_00007.html,Excel,,,,,170000/10 Acu/Qingdao,,2012.0,17/22 Aug,2026-08-17,2026-08-22,PARSED,32.45,$/mt,'Excel' 2012 170000/10 Acu/Qingdao 17/22 Aug $32.45 fio 90000shinc/30000shinc - Anglo,PARSED,DESTINATION_NOT_PARSED,False,NO_DESTINATION,KNOWN_HISTORICAL_OR_REPORTED,False,False,170000/10 Acu/Qingdao,,170000/10 acu/qingdao -> 
2026-07-21,report_00007.html,Genco Augustus,,,,,170000/10 Tubarao option West Africa/Qingdao,,2007.0,10/15 Aug,2026-08-10,2026-08-15,PARSED,32.15,$/mt,'Genco Augustus' 2007 170000/10 Tubarao option West Africa/Qingdao 10/15 Aug $32.15 fio 3 days shinc/30000shinc - Glovis,PARSED,DESTINATION_NOT_PARSED,False,NO_DESTINATION,KNOWN_HISTORICAL_OR_REPORTED,False,False,170000/10 Tubarao option West Africa/Qingdao,,170000/10 tubarao option west africa/qingdao -> 
2026-07-21,report_00007.html,,,,,,,,,,,,NOT_PARSED,,$/mt,COAL 'Pan Ocean TBN' 58000/10 Abbot Point/Donghae 5/14 Aug $19.89 fio 25000shinc/20000shinc - Kepco,REVIEW,VOYAGE_REGEX_NO_MATCH,False,UPSTREAM_PARSE_REVIEW;NO_FREIGHT_RATE;NO_CARGO_QUANTITY;NO_ORIGIN;NO_DESTINATION;NO_LAYCAN_START,UNKNOWN,False,False,,, -> 
2026-07-29,report_00009.html,Jutta,,,,,170000/10 Tubarao option West Africa/Qingdao,,2016.0,17/21 Aug,2026-08-17,2026-08-21,PARSED,32.1,$/mt,'Jutta' 2016 170000/10 Tubarao option West Africa/Qingdao 17/21 Aug $32.10 fio 3 days shinc/30000shinc - Oldendorff - <28/7 fixture>,PARSED,DESTINATION_NOT_PARSED,False,NO_DESTINATION,KNOWN_HISTORICAL_OR_REPORTED,False,False,170000/10 Tubarao option West Africa/Qingdao,,170000/10 tubarao option west africa/qingdao -> 
2026-07-29,report_00009.html,,,,,,,,,,,,NOT_PARSED,,$/mt,GRAIN 'TBN' 63000/10 Santos/China 15/20 Aug $50.00 fio 8000sshex/8000sshex - ADMI,REVIEW,VOYAGE_REGEX_NO_MATCH,False,UPSTREAM_PARSE_REVIEW;NO_FREIGHT_RATE;NO_CARGO_QUANTITY;NO_ORIGIN;NO_DESTINATION;NO_LAYCAN_START,UNKNOWN,False,False,,, -> 
2026-07-29,report_00009.html,TBN,,,,,Santos,China,63000.0,20/30 Aug,2026-08-20,2026-08-30,PARSED,49.75,$/mt,'TBN' 63000/10 Santos/China 20/30 Aug $49.75 fio 8000sshex/8000sshex - ECTP,PARSED,OK,True,OK,KNOWN_HISTORICAL_OR_REPORTED,False,False,Santos,China,santos -> china
2026-08-04,report_00010.html,Aanya,,,,,170000/10 Tubarao option West Africa/Qingdao,,2012.0,7/12 Sep,2026-09-07,2026-09-12,PARSED,35.75,$/mt,'Aanya' 2012 170000/10 Tubarao option West Africa/Qingdao 7/12 Sep $35.75 fio 3 days shinc/30000shinc - ECTP,PARSED,DESTINATION_NOT_PARSED,False,NO_DESTINATION,KNOWN_HISTORICAL_OR_REPORTED,False,False,170000/10 Tubarao option West Africa/Qingdao,,170000/10 tubarao option west africa/qingdao -> 
2026-08-04,report_00010.html,,,,,,,,,,,,NOT_PARSED,,$/mt,GRAIN 'TBN' 65000/10 Vancouver/Nansha 1 Sep $35.00 fio 5000sshex/8000sshex - ADM,REVIEW,VOYAGE_REGEX_NO_MATCH,False,UPSTREAM_PARSE_REVIEW;NO_FREIGHT_RATE;NO_CARGO_QUANTITY;NO_ORIGIN;NO_DESTINATION;NO_LAYCAN_START,UNKNOWN,False,False,,, -> 
2026-08-19,report_00012.html,,,,,,,,,,,,NOT_PARSED,,$/mt,GRAIN 'Cosco TBN' 64000/10 Itaqui/Qingdao 15/30 Sep $54.15 fio 8000sshex/8000sshex - Cargill,REVIEW,VOYAGE_REGEX_NO_MATCH,False,UPSTREAM_PARSE_REVIEW;NO_FREIGHT_RATE;NO_CARGO_QUANTITY;NO_ORIGIN;NO_DESTINATION;NO_LAYCAN_START,UNKNOWN,True,False,,, -> 
