candidate_id,imo,mmsi,vessel_name,candidate_vessel_class,dwt,dwt_class,gt,built,vessel_age_years,draught,size_a,size_b,flag,lat,lon,speed,avg_sog,max_sog,course,nav_status,destination,last_port,last_port_unloco,last_port_dep_utc,next_port,next_port_unloco,next_port_eta_utc,freshness_minutes,observation_count,first_observation_timestamp,last_observation_timestamp,mean_reported_speed,max_reported_speed,min_reported_speed,mean_freshness_minutes,has_extended_metadata,has_dwt,has_reported_speed,has_avg_sog,has_position,ais_fresh,has_multiple_observations,metadata_non_null_count,metadata_completeness,candidate_usable,candidate_source
IMO_9603398,9603398,373033000,CAPE RAINBOW,BULK_CARRIER,207886.0,VLOC_OR_VERY_LARGE,106251.0,2012.0,14.0,10.0,262.0,38.0,PA,-23.79231,151.53191,3.9,9.4,13.2,208.0,0,,NEWCASTLE,AUNTL,2026-08-24T21:28:50Z,GLADSTONE,AUGLT,2026-08-28T05:58:59Z,73.3,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,3.9,3.9,3.9,70.775,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9607136,9607136,564856000,RTM DHAMBUL,BULK_CARRIER,70373.0,SUPRAMAX,38800.0,2013.0,13.0,11.9,195.0,30.0,SG,-23.83336,151.51863,0.0,11.5,14.8,251.0,1,,WEIPA,AUWEI,2026-07-24T12:47:35Z,GLADSTONE,AUGLT,2026-08-27T06:00:00Z,73.48333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,70.95833333333334,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9614919,9614919,431812000,SG UNITED,BULK_CARRIER,,UNKNOWN,,,,9.9,254.0,38.0,JP,-23.8134,151.46051,0.2,10.4,14.3,149.0,1,,KASHIMA,JPKSM,2026-07-27T09:08:21Z,,,,75.91666666666667,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.2,0.2,0.2,73.39166666666667,True,False,True,True,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9633159,9633159,636025609,MAIZURU KICHIJO,BULK_CARRIER,91435.0,PANAMAX,50626.0,2012.0,14.0,12.5,201.0,34.0,LR,-23.85197,151.31129,0.0,,,261.0,5,,,,,GLADSTONE,AUGLT,2026-08-22T00:00:00Z,24.2,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,21.674999999999997,True,True,True,False,True,True,True,7,0.875,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9650767,9650767,352035000,RAGA,BULK_CARRIER,95666.0,PANAMAX,50615.0,2013.0,13.0,7.7,206.0,29.0,PA,-23.81918,151.48063,0.2,12.3,14.9,81.0,1,,HUANGHUA,CNHNH,2026-08-02T09:20:28Z,GLADSTONE,AUGLT,2026-08-18T13:00:00Z,86.28333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.2,0.2,0.2,83.75833333333333,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9689897,9689897,565285000,STRATEGIC HARMONY,BULK_CARRIER,,UNKNOWN,,,,6.8,155.0,25.0,SG,-23.85092,151.47758,0.0,9.8,13.8,86.0,1,,LUMUT,MYLUM,2026-08-01T09:13:54Z,GLADSTONE,AUGLT,2026-08-21T12:00:00Z,74.88333333333334,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,72.35833333333333,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9694945,9694945,269084000,BREGAGLIA,BULK_CARRIER,,UNKNOWN,,,,8.1,203.0,37.0,CH,-23.83375,151.47999,0.0,10.6,13.8,73.0,1,,HITACHINAKA,JPHIC,2026-08-08T10:24:31Z,GLADSTONE,AUGLT,2026-08-24T13:30:00Z,78.51666666666667,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,75.99166666666667,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9700823,9700823,352286000,CAPE HOPE,BULK_CARRIER,,UNKNOWN,,,,9.8,258.0,41.0,PA,-23.8005,151.49697,0.2,11.2,15.9,125.0,1,,MIZUSHIMA,JPMIZ,2026-07-19T02:00:29Z,,,,73.71666666666667,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.2,0.2,0.2,71.19166666666666,True,False,True,True,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9708318,9708318,636016900,CAROLA,BULK_CARRIER,,UNKNOWN,,,,9.5,200.0,25.0,LR,-23.89876,151.57304,0.2,11.8,14.8,146.0,1,,TAICHUNG,TWTXG,2026-07-30T16:44:36Z,,,,82.81666666666666,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.2,0.2,0.2,80.29166666666666,True,False,True,True,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9713442,9713442,372754000,CAPE HARVEST,BULK_CARRIER,,UNKNOWN,,,,8.8,260.0,40.0,PA,-23.84951,151.45999,0.3,10.2,15.8,126.0,1,,MIZUSHIMA,JPMIZ,2026-08-02T05:32:38Z,,,,74.73333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.3,0.3,0.3,72.20833333333334,True,False,True,True,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
