retrieved_at_utc,requested_code,returned_code,fuel_grade,market_reference,price_usd_per_metric_ton,currency,unit,formatted_price,source,source_type,created_at,updated_at,as_of,collected_at,data_status,stale,synthetic,api_freshness_status,api_age_seconds,api_expected_max_age_seconds,observed_age_hours,circuit_breaker_open,project_fresh,project_usable,change_24h_amount,change_24h_percent,previous_price,previous_timestamp,change_measured_at
2026-08-28T09:29:52.042222+00:00,VLSFO_USD,VLSFO_SGSIN_USD,VLSFO,Singapore,770.5,USD,metric_ton,$770.50,market_reporting,spot_price,2026-08-28T09:11:19.178Z,2026-08-28T09:11:19.178Z,2026-08-28T09:11:19.178Z,2026-08-28T09:11:19.178Z,current,False,False,current,1112.0,3600.0,0.3088888888888889,False,True,True,-10.5,-1.34,781.0,2026-08-27T09:11:16Z,2026-08-28T09:11:19Z
2026-08-28T16:13:00.607670+00:00,VLSFO_USD,VLSFO_SGSIN_USD,VLSFO,Singapore,770.5,USD,metric_ton,$770.50,market_reporting,spot_price,2026-08-28T16:11:32.820Z,2026-08-28T16:11:32.820Z,2026-08-28T16:11:32.820Z,2026-08-28T16:11:32.820Z,current,False,False,current,87.0,3600.0,0.024166666666666666,False,True,True,-10.5,-1.34,781.0,2026-08-27T16:11:15Z,2026-08-28T16:11:32Z
