observation_id,source_file,source_file_type,api_snapshot_timestamp,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,vtype7_bulk_candidate,lat,lon,speed,course,nav_status,destination,zone_name,source,raw_record_index,exact_duplicate_observation,imo_observation_sequence,previous_api_snapshot_timestamp,observation_interval_hours,previous_lat,previous_lon,position_changed
zone_australia_gladstone_hay_point_20260828T042118Z.json_4,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:06:39+00:00,74.65,9465186,636019494,ES GLORY SEA,7,True,-23.75762,151.47274,0.1,64.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,4,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.75762,151.47274,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_6,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:02:37+00:00,73.63333333333334,9519779,205580000,MINERAL STONEHENGE,7,True,-23.81305,151.49913,0.0,172.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,6,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_6,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:02:37+00:00,78.68333333333334,9519779,205580000,MINERAL STONEHENGE,7,True,-23.81305,151.49913,0.0,172.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,6,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.81305,151.49913,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_23,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:07:34+00:00,68.68333333333334,9523201,413985000,YUN LONG FENG,7,True,-23.8292,151.58686,0.1,119.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,23,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_24,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:07:34+00:00,73.73333333333333,9523201,413985000,YUN LONG FENG,7,True,-23.8292,151.58686,0.1,119.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,24,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.8292,151.58686,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_50,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:07:10+00:00,69.08333333333333,9557587,503641000,VB KOONGO,3,False,-23.82487,151.24391,0.0,80.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,50,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_51,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:07:10+00:00,74.13333333333334,9557587,503641000,VB KOONGO,3,False,-23.82487,151.24391,0.0,80.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,51,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.82487,151.24391,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_49,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:07:56+00:00,68.31666666666666,9557599,503642000,VB YALLARM,3,False,-23.83668,151.28152,6.6,289.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,49,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_50,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:07:56+00:00,73.36666666666666,9557599,503642000,VB YALLARM,3,False,-23.83668,151.28152,6.6,289.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,50,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.83668,151.28152,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_47,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:04:07+00:00,72.13333333333334,9559248,503000216,VB SEA EAGLE,3,False,-23.82433,151.24317,0.0,511.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,47,True,1,,,,,True
