scenario_id,change_pct,forecast_5tc,forecast_date,current_5tc,source,seed
60,-35.29933249895703,26627.559710054236,2026-08-17,41155.0,empirical_verified_weekly_changes,42
61,-12.269139804948049,36105.63551327363,2026-08-17,41155.0,empirical_verified_weekly_changes,42
62,-9.800610508540625,37121.55874521011,2026-08-17,41155.0,empirical_verified_weekly_changes,42
63,-15.129113924050634,34928.61316455696,2026-08-17,41155.0,empirical_verified_weekly_changes,42
64,4.5860695446226725,43042.39692108946,2026-08-17,41155.0,empirical_verified_weekly_changes,42
65,44.22533517705766,59355.936692118084,2026-08-17,41155.0,empirical_verified_weekly_changes,42
66,61.87755102040816,66620.70612244897,2026-08-17,41155.0,empirical_verified_weekly_changes,42
67,1.0201068427693216,41574.824971141716,2026-08-17,41155.0,empirical_verified_weekly_changes,42
68,-15.129113924050634,34928.61316455696,2026-08-17,41155.0,empirical_verified_weekly_changes,42
69,13.62157899924434,46760.96083713901,2026-08-17,41155.0,empirical_verified_weekly_changes,42
70,23.965141612200437,51017.85403050108,2026-08-17,41155.0,empirical_verified_weekly_changes,42
71,35.504996330378816,55767.0812397674,2026-08-17,41155.0,empirical_verified_weekly_changes,42
72,13.987730061349692,46911.65030674847,2026-08-17,41155.0,empirical_verified_weekly_changes,42
73,-16.09955005624297,34529.23017435321,2026-08-17,41155.0,empirical_verified_weekly_changes,42
74,-24.055011812352344,31255.159888626393,2026-08-17,41155.0,empirical_verified_weekly_changes,42
75,-35.29933249895703,26627.559710054236,2026-08-17,41155.0,empirical_verified_weekly_changes,42
76,23.965141612200437,51017.85403050108,2026-08-17,41155.0,empirical_verified_weekly_changes,42
77,61.87755102040816,66620.70612244897,2026-08-17,41155.0,empirical_verified_weekly_changes,42
78,-18.406889128094726,33579.644779332615,2026-08-17,41155.0,empirical_verified_weekly_changes,42
79,13.63922721545569,46768.223960520794,2026-08-17,41155.0,empirical_verified_weekly_changes,42
80,-24.583391099403855,31037.705393040345,2026-08-17,41155.0,empirical_verified_weekly_changes,42
81,12.621917974192767,46349.550342279035,2026-08-17,41155.0,empirical_verified_weekly_changes,42
82,38.04347826086957,56811.79347826087,2026-08-17,41155.0,empirical_verified_weekly_changes,42
83,-11.506675143038779,36419.42784488239,2026-08-17,41155.0,empirical_verified_weekly_changes,42
