report_date,source_file,vessel_or_tbn,vessel_dwt,vessel_class,cargo_section,cargo_type,origin_raw,destination_raw,cargo_quantity_mt,laycan_raw,laycan_start,laycan_end,laycan_status,freight_rate,rate_unit,raw_text,parse_status,parse_reason
22.06.2026,report_00003.html,TBN,,,,,Dampier,Qingdao,170000.0,8/11 Jul,2026-07-08,2026-07-11,PARSED,11.65,$/mt,'TBN' 170000/10 Dampier/Qingdao 8/11 Jul $11.65 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK
22.06.2026,report_00003.html,MSXT Capella,,,,,170000/10 Saldanha Bay/Dangjin,,2012.0,15/19 Jul,2026-07-15,2026-07-19,PARSED,22.2,$/mt,'MSXT Capella' 2012 170000/10 Saldanha Bay/Dangjin 15/19 Jul $22.20 fio 90000shinc/30000shinc - Ore and Metal - <19/6 fixture>,PARSED,DESTINATION_NOT_PARSED
22.06.2026,report_00003.html,NYK TBN,,,,,Tubarao,Qingdao,170000.0,13/17 Jul,2026-07-13,2026-07-17,PARSED,32.5,$/mt,'NYK TBN' 170000/10 Tubarao/Qingdao 13/17 Jul $32.50 fio 3 days shinc/30000shinc - cnr - <19/6 fixture>,PARSED,OK
22.06.2026,report_00003.html,,,,,,,,,,,,NOT_PARSED,,$/mt,COAL 'Wooyang TBN' 80000/10 Tarahan/Goseong 3/8 Jul $9.94 fio 30000satpmshexuu/25000shinc - Kepco,REVIEW,VOYAGE_REGEX_NO_MATCH
22.06.2026,report_00003.html,Wooyang TBN,,,,,Gladstone,Boryeong,80000.0,7/16 Jul,2026-07-07,2026-07-16,PARSED,15.9,$/mt,'Wooyang TBN' 80000/10 Gladstone/Boryeong 7/16 Jul $15.90 fio 30000mtsatpmshexuu/19000ltshinc - Kepco,PARSED,OK
22.06.2026,report_00003.html,,,,,,,,,,,,NOT_PARSED,,$/mt,'TBN' 75000/10 APCT-HPCT-DBCT/EC India 30 Jun/9 Jul $20.15 fio 40000shinc/40000shinc - SAIL,REVIEW,VOYAGE_REGEX_NO_MATCH
06.07.2026,report_00004.html,,,,,,,,,,,,NOT_PARSED,,$/mt,'Frontier Wave' 2012 170000/10 Tubarao/Qingdao 30 Jul/2 Aug $31.60 fio 3 days shinc/30000shinc - Classic,REVIEW,VOYAGE_REGEX_NO_MATCH
06.07.2026,report_00004.html,,,,,,,,,,,,NOT_PARSED,,$/mt,"COAL 'TBN' 75000/10 coal Gladstone/Vizag 5/14 Aug $19.60 fio 35,000shinc/35,000shinc - SAIL",REVIEW,VOYAGE_REGEX_NO_MATCH
08.07.2026,report_00005.html,TBN,,,,,Dampier,Qingdao,170000.0,23/25 Jul,2026-07-23,2026-07-25,PARSED,12.8,$/mt,'TBN' 170000/10 Dampier/Qingdao 23/25 Jul $12.80 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK
08.07.2026,report_00005.html,Proteus,,,,,170000/10 Tubarao/Qingdao,,2023.0,24/30 Jul,2026-07-24,2026-07-30,PARSED,32.5,$/mt,'Proteus' 2023 170000/10 Tubarao/Qingdao 24/30 Jul $32.50 fio 3 days shinc/30000shinc - Classic,PARSED,DESTINATION_NOT_PARSED
08.07.2026,report_00005.html,Alba,,,,,170000/10 Tubarao/Qingdao,,2012.0,25/30 Jul,2026-07-25,2026-07-30,PARSED,32.5,$/mt,'Alba' 2012 170000/10 Tubarao/Qingdao 25/30 Jul $32.50 fio 3 days shinc/30000shinc - Cosco,PARSED,DESTINATION_NOT_PARSED
08.07.2026,report_00005.html,TBN,,,,,Port Hedland,Qingdao,160000.0,23/25 Jul,2026-07-23,2026-07-25,PARSED,13.0,$/mt,'TBN' 160000/10 Port Hedland/Qingdao 23/25 Jul $13.00 fio 80000shinc/30000shinc - BHP,PARSED,OK
08.07.2026,report_00005.html,,,,,,,,,,,,NOT_PARSED,,$/mt,COAL 'TBN' 75000/10 coal Norfolk/Paradip 25 Jul/3 Aug $47.00 fio 25000shinc/15000shinc - Avani,REVIEW,VOYAGE_REGEX_NO_MATCH
08.07.2026,report_00005.html,TBN,,,,,coal Nacala,Gangavaram,75000.0,5/14 Aug,2026-08-05,2026-08-14,PARSED,17.7,$/mt,'TBN' 75000/10 coal Nacala/Gangavaram 5/14 Aug $17.70 fio 33000shinc/40000shinc - NSL,PARSED,OK
08.07.2026,report_00005.html,TBN,,,,,coal NQXT-APCT-DBCT- Gladstone,EC India,75000.0,10/19 Aug,2026-08-10,2026-08-19,PARSED,19.65,$/mt,'TBN' 75000/10 coal NQXT-APCT-DBCT- Gladstone / EC India 10/19 Aug $19.65 fio 40000shinc/40000shinc - SAIL,PARSED,OK
08.07.2026,report_00005.html,,,,,,,,,,,,NOT_PARSED,,$/mt,GRAIN 'TBN' 60000/10 grains Santos/Gdynia 14/21 Aug $30.90 fio 8000sshex/15000sshex - LDC,REVIEW,VOYAGE_REGEX_NO_MATCH
