report_date,original_value,evidence_level,values_in_sentence,sentence,source
2021-05-10,40608.0,WEAK,"40608,44817,41514","The 5TC opened the week at $40,608, peaked at $44,817 mid-week before finally retracing to take a breather at $41,514.",https://www.drycargomag.com/dry-bulk-week-18-2021
2021-07-05,34299.0,MEDIUM,"34299,29106","The Capesize 5TC reached $34,299 on Tuesday before closing the week out at $29,106.",https://www.drycargomag.com/dry-bulk-week-26-2021
2021-08-09,36150.0,WEAK,36150,"Dry Bulk: Week 31 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 31 09 August 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market broke out of its recent range this week as the 5TC peaked on Thursday before easing Friday slightly down at $36,150.",https://www.drycargomag.com/dry-bulk-week-31-2021
2021-08-31,6162.0,STRONG,51099,"The 5TC recorded an improvement of $986 to $51,099 on Friday.",https://www.drycargomag.com/dry-bulk-week-34-2021
2021-10-11,86953.0,WEAK,"86953,83865","The Capesize 5TC managed a high of $86,953 on Thursday before closing out the week on a softer note at $83,865.",https://www.drycargomag.com/dry-bulk-week-40-2021
2021-11-01,15398.0,WEAK,36065,"Dry Bulk: Week 43 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 43 01 November 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market was in dire straits this week as tonnage levels were heard to be building while many areas had minimal activity as the 5TC dropped -15,398 to $36,065 week on week.",https://www.drycargomag.com/dry-bulk-week-43-2021
2022-01-24,7390.0,WEAK,7390,"k 3 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 3 24 January 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize There was little support to be found for the Capesize market over the last week as dwindling rates and rising bunker prices slashed earnings for owners with the 5TC Weighted Average dropping to $7,390.",https://www.drycargomag.com/dry-bulk-week-3-2022
2022-05-03,2003.0,WEAK,"16609,17713","Dry Bulk: Week 17 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 17 / 2022 03 May 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market had a positive week overall with the BCI and 5TC route average at 2003 points and $16,609, closing at 2,136 and $17,713.",https://www.drycargomag.com/dry-bulk-week-17-2022
2022-05-09,24002.0,WEAK,"24002,6262","Dry Bulk: Week 18 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 18 / 2022 09 May 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market has made the most of the short working week as rates have lifted strongly, with the 5TC now residing at $24,002 - up $6262 week on week.",https://www.drycargomag.com/dry-bulk-week-18-2022
2022-06-13,4609.0,WEAK,19665,"The softening of values was felt across all Capesize 5TC routes as the index lowered throughout the week by -4609 to $19,665.",https://www.drycargomag.com/dry-bulk-week-23-2022
2022-06-20,5111.0,STRONG,"5111,24776","Amongst this turmoil the sector managed to find a floor under its recent softening as sentiment improved in the latter part of the week with the Capesize 5TC lifting $5,111 over the week to finish at $24,776.",https://www.drycargomag.com/dry-bulk-week-24-2022
2022-06-20,5111.0,WEAK,20000,"Yet coming into the second part of the year history tells us cargo flows will be increasing while downside from $20,000 on the 5TC never seems to last too long under owner resistance.",https://www.drycargomag.com/dry-bulk-week-24-2022
2022-06-27,4901.0,WEAK,19875,"Dry Bulk: Week 25 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 25 / 2022 27 June 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market was unable to carry the rally from last week as rates were seen to dip sharply this week with the 5TC down 4901 to $19,875.",https://www.drycargomag.com/dry-bulk-week-25-2022
2022-07-18,20000.0,WEAK,"20000,24209","Dry Bulk: Week 28 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 28 / 2022 18 July 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize Firmer sentiment across both basins pushed the Capesize 5TC route average above the $20,000 threshold this week, closing at $24,209.",https://www.drycargomag.com/dry-bulk-week-28-2022
2023-02-20,4432.0,STRONG,"4432,2246","Dry Bulk Shipping Report About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Shipping Report 20 February 2023 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize There was an overriding negative sentiment in the sector this week as the Cape 5TC average fell from $4,432 to $2,246 on Friday.",https://www.drycargomag.com/dry-bulk-shipping-report-0723
2023-06-26,12375.0,MEDIUM,"12375,17252","The BCI 5TC, which opened on Monday at $12,375, has experienced a significant rise and currently stands at $17,252.",https://www.drycargomag.com/dry-bulk-shipping-report-2523
2026-07-27,31768.0,WEAK,"31768,38860","However, sentiment improved steadily as fresh cargoes emerged and buying interest returned, lifting the BCI 5TC from its early-week low of $31,768 to finish the week at $38,860.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-3026
2026-08-17,46300.0,WEAK,"46300,41155","Baltic Exchange: Dry Bulk Weekly Report About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Baltic Exchange: Dry Bulk Weekly Report 17 August 2026 Dry Bulk Capesize The market came under sustained pressure this week, with the BCI 5TC falling from $46,300 to $41,155 as softer Pacific conditions outweighed pockets of resilience in the Atlantic.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-3326
