report_date,target_5tc,status,evidence,source,has_5tc,has_capesize,has_bci,has_ultramax,has_supramax,semantic_category
2020-02-17,2445.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $2,660 to close out at $2,445.",https://www.drycargomag.com/dry-bulk-week-7,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2020-02-24,2787.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $2,445 to close out the week at $2,787.",https://www.drycargomag.com/dry-bulk-week-8,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2020-03-09,2542.0,GOOD_EXPLICIT,"The Capesize 5TC market closed out the week at $2,542.",https://www.drycargomag.com/dry-bulk-week-10,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2020-03-16,2797.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $2,542 to close at $2,797.",https://www.drycargomag.com/dry-bulk-week-11,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2020-03-23,4067.0,GOOD_EXPLICIT,"With the market in a constant state of flux on a seemingly endless news cycle, increasing restrictions and disruptions, the Cape 5TC managed a lift out of its recent range to settle the week at $4,067, a lift of +$1,270 for the week.",https://www.drycargomag.com/dry-bulk-week-12,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2020-03-30,3675.0,GOOD_EXPLICIT,"The Cape 5TC closed out the week at $3,675, down -392.",https://www.drycargomag.com/dry-bulk-week-13,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2020-04-20,9875.0,GOOD_EXPLICIT,"The Capesize 5TC opened the shortened week at $6,762 to close out at $9,875.",https://www.drycargomag.com/dry-bulk-week-16,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2020-04-27,8381.0,GOOD_EXPLICIT,"The Capesize 5TC peaked early in the week at $10,081, before gains were gradually eroded down to $8,381 by Friday.",https://www.drycargomag.com/dry-bulk-week-17,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2020-09-21,15761.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $15,248 to close at $15,761.",https://www.drycargomag.com/dry-bulk-week-38,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2020-10-19,19952.0,GOOD_EXPLICIT,"Opening at $29,479, the Capesize 5TC has closed the week at $19,952, a drop of almost -30%.",https://www.drycargomag.com/dry-bulk-week-42,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2020-11-09,14421.0,GOOD_EXPLICIT,"The end of the week brought about a small uptick of +244 to settle the Capesize 5TC at $14,421, possibly placing a support level, although others would suggest it will allow for a breather before further declines.",https://www.drycargomag.com/dry-bulk-week-45,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
