report_date,old_extracted,five_tc_sentences,source
2020-01-27,8352.0,"VALUES=[8352.0, 4772.0] | Dry Bulk: Week 4 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 4 27 January 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 4 Capesize The market endured heavy losses throughout the past week, with the Capesize 5TC dropping from $8,352 to $4,772.",https://www.drycargomag.com/dry-bulk-week-4
2020-03-02,2274.0,"VALUES=[2274.0, 3000.0] | The Capesize 5TC, now $2,274, has remained below $3,000 for three weeks straight, whilst market conditions seemingly continue to deteriorate.",https://www.drycargomag.com/dry-bulk-week-9
2020-04-27,10081.0,"VALUES=[10081.0, 8381.0] | The Capesize 5TC peaked early in the week at $10,081, before gains were gradually eroded down to $8,381 by Friday.",https://www.drycargomag.com/dry-bulk-week-17
2020-06-08,7307.0,"VALUES=[3369.0, 7307.0] | At a paltry $3369 from the beginning of the week, the Capesize 5TC has lifted to $7307 with momentum continuing to build.",https://www.drycargomag.com/dry-bulk-week-23
2020-06-15,12410.0,"VALUES=[12410.0] | Earnings have lifted from sub operating cost levels under two weeks ago, to now having surged up to have the Capesize 5TC settling at $12,410.",https://www.drycargomag.com/dry-bulk-week-24
2020-06-29,29641.0,"VALUES=[29641.0] | From persistent lows earlier caused by a barrage of negative factors, the capesize 5TC market has outperformed in spectacular fashion to now reside at $29641.",https://www.drycargomag.com/dry-bulk-week-26
2020-07-20,25085.0,"VALUES=[25085.0] | A backwardated forward curve illustrating a capesize 5TC spot level from today of $25,085, down to Q4 at $17-18k, gives an indication of market confidence.",https://www.drycargomag.com/dry-bulk-week-29
2020-07-27,25085.0,"VALUES=[25085.0, 17285.0] | Dry Bulk: Week 30 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 30 27 July 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The capesize market had the stuffing knocked out of it this week as the 5TC dropped from $25,085 down to $17,285.",https://www.drycargomag.com/dry-bulk-week-30
2020-10-05,30000.0,"VALUES=[30000.0] | Dry Bulk: Week 40 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 40 05 October 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize Firm trading activity this week has pushed the Capesize 5TC up and over the $30000 level, reaching near new highs for the year.",https://www.drycargomag.com/dry-bulk-week-40
2020-10-12,29479.0,"VALUES=[34896.0] | Dry Bulk: Week 41 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 41 12 October 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market reached new highs for the year this week, topping out at $34,896 on the 5TC.",https://www.drycargomag.com/dry-bulk-week-41
2020-11-02,3199.0,"VALUES=[15550.0, 3199.0] | Following that, rates collapsed down to $15,550 on the Capesize 5TC, a drop of $3,199 for the week.",https://www.drycargomag.com/dry-bulk-week-44
2020-11-09,14421.0,"VALUES=[14421.0] | The end of the week brought about a small uptick of +244 to settle the Capesize 5TC at $14,421, possibly placing a support level, although others would suggest it will allow for a breather before further declines.",https://www.drycargomag.com/dry-bulk-week-45
2020-12-07,12712.0,"VALUES=[12712.0] | Dry Bulk: Week 49 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 49 07 December 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market continued its meandering behaviour this week as the 5TC opened at $12,712.",https://www.drycargomag.com/dry-bulk-week-49
2021-03-01,14224.0,"VALUES=[14224.0, 11934.0] | Dry Bulk: Week 8 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 8 01 March 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The market took on a mild downward slide during this week with the 5TC opening at $14,224 to close out at $11,934.",https://www.drycargomag.com/dry-bulk-week-8-2021
2021-03-15,14794.0,"VALUES=[14794.0, 17889.0, 16741.0] | The Capesize 5TC opened the week at $14,794 to move quickly up to $17,889 at midweek before tailing off towards the weekend at $16,741.",https://www.drycargomag.com/dry-bulk-week-10-2021
2021-03-29,19437.0,"VALUES=[19437.0, 19014.0] | The 5TC opened the week at $19,437 to close out the week down $423 at $19,014.",https://www.drycargomag.com/dry-bulk-week-12-2021
2021-04-12,4058.0,"VALUES=[23911.0] | The Capesize 5TC lifted 4,058 over the shortened post Easter holiday week to $23,911.",https://www.drycargomag.com/dry-bulk-week-14-2021
2021-04-19,23911.0,"VALUES=[23911.0] | The Capesize 5TC started the week at $23,911, surged early in the week before a lull mid-week.",https://www.drycargomag.com/dry-bulk-week-15
2021-04-26,6242.0,"VALUES=[6242.0, 34762.0] | The 5TC rose $6,242 to settle at the end of the week at $34,762.",https://www.drycargomag.com/dry-bulk-week-16-2021
2021-05-04,40608.0,"VALUES=[40608.0] | Dry Bulk: Week 17 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 17 04 May 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The market is showing no signs of easing as rates continued to ascend this week reaching record highs for the 5TC average at $40,608.",https://www.drycargomag.com/dry-bulk-week-17-2021
2021-05-10,40608.0,"VALUES=[40608.0, 44817.0, 41514.0] | The 5TC opened the week at $40,608, peaked at $44,817 mid-week before finally retracing to take a breather at $41,514.",https://www.drycargomag.com/dry-bulk-week-18-2021
2021-08-09,36150.0,"VALUES=[36150.0] | Dry Bulk: Week 31 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 31 09 August 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market broke out of its recent range this week as the 5TC peaked on Thursday before easing Friday slightly down at $36,150.",https://www.drycargomag.com/dry-bulk-week-31-2021
2021-08-16,4766.0,"VALUES=[39526.0] | By the end of the week both 5TC and BCI reached a new high since mid-May, at 4,766 and $39,526 respectively.",https://www.drycargomag.com/dry-bulk-week-32-2021
2021-08-31,6162.0,"VALUES=[] | Dry Bulk: Week 34 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 34 31 August 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize Both the overall index and 5 time charter (5TC) average climbed back to positive territory at the end of the week after a mid-week decline.
VALUES=[51099.0] | The 5TC recorded an improvement of $986 to $51,099 on Friday.",https://www.drycargomag.com/dry-bulk-week-34-2021
2021-11-01,15398.0,"VALUES=[36065.0] | Dry Bulk: Week 43 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 43 01 November 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market was in dire straits this week as tonnage levels were heard to be building while many areas had minimal activity as the 5TC dropped -15,398 to $36,065 week on week.",https://www.drycargomag.com/dry-bulk-week-43-2021
2022-01-24,7390.0,"VALUES=[7390.0] | k 3 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 3 24 January 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize There was little support to be found for the Capesize market over the last week as dwindling rates and rising bunker prices slashed earnings for owners with the 5TC Weighted Average dropping to $7,390.",https://www.drycargomag.com/dry-bulk-week-3-2022
2022-01-31,7390.0,"VALUES=[7390.0, 5826.0, 8918.0] | The 5TC weighted average opened the week at $7,390, descended to a low of $5,826 before settling at week’s end to $8,918.",https://www.drycargomag.com/dry-bulk-week-4-2022
2022-04-04,13596.0,"VALUES=[13596.0, 15460.0] | However, by Friday green shoots were beginning to emerge as the 5TC saw a low of $13,596 yet closed at $15,460.",https://www.drycargomag.com/dry-bulk-week-13-2022
2022-04-25,15299.0,"VALUES=[15299.0] | Dry Bulk: Week 16 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 16 / 2022 25 April 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize After several weeks of relatively flat price movement, the Capesize 5TC market has started to show a little positive sentiment with levels pushed to $15,299.",https://www.drycargomag.com/dry-bulk-week-16-2022
