report_date,capesize_5tc_usd_per_day,c5_usd_per_mt,source,validation_score,validation_status,validation_reason,source_context
2020-06-08,7307.0,4.123,https://www.drycargomag.com/dry-bulk-week-23,0,UNVERIFIED,Could not find exact 5TC context,
2020-06-15,12410.0,5.473,https://www.drycargomag.com/dry-bulk-week-24,0,UNVERIFIED,Could not find exact 5TC context,
2020-06-22,4670.0,8.918,https://www.drycargomag.com/dry-bulk-week-25,0,UNVERIFIED,Could not find exact 5TC context,
2020-06-29,29641.0,9.723,https://www.drycargomag.com/dry-bulk-week-26,0,UNVERIFIED,Could not find exact 5TC context,
2020-07-20,25085.0,8.132,https://www.drycargomag.com/dry-bulk-week-29,0,UNVERIFIED,Could not find exact 5TC context,
2020-07-27,17285.0,2.123,https://www.drycargomag.com/dry-bulk-week-30,0,UNVERIFIED,Could not find exact 5TC context,
2020-08-17,19916.0,8.432,https://www.drycargomag.com/dry-bulk-week-33,0,UNVERIFIED,Could not find exact 5TC context,
2020-09-14,15248.0,7.0,https://www.drycargomag.com/dry-bulk-week-37,0,UNVERIFIED,Could not find exact 5TC context,
2020-09-21,15248.0,7.082,https://www.drycargomag.com/dry-bulk-week-38,0,UNVERIFIED,Could not find exact 5TC context,
2020-09-28,15761.0,,https://www.drycargomag.com/dry-bulk-week-39,0,UNVERIFIED,Could not find exact 5TC context,
2020-10-05,30000.0,,https://www.drycargomag.com/dry-bulk-week-40,0,UNVERIFIED,Could not find exact 5TC context,
2020-10-12,29479.0,9.709,https://www.drycargomag.com/dry-bulk-week-41,0,UNVERIFIED,Could not find exact 5TC context,
2020-10-19,19952.0,7.668,https://www.drycargomag.com/dry-bulk-week-42,0,UNVERIFIED,Could not find exact 5TC context,
2020-10-26,,7.823,https://www.drycargomag.com/dry-bulk-week-43,0,NO_5TC_VALUE,No extracted 5TC value,
2020-11-02,3199.0,7.1,https://www.drycargomag.com/dry-bulk-week-44,0,UNVERIFIED,Could not find exact 5TC context,
2020-11-09,14421.0,6.823,https://www.drycargomag.com/dry-bulk-week-45,0,UNVERIFIED,Could not find exact 5TC context,
2020-11-30,12712.0,7.118,https://www.drycargomag.com/dry-bulk-week-48,0,UNVERIFIED,Could not find exact 5TC context,
2020-12-07,12712.0,7.795,https://www.drycargomag.com/dry-bulk-week-49,0,UNVERIFIED,Could not find exact 5TC context,
2020-12-14,11889.0,6.991,https://www.drycargomag.com/dry-bulk-week-50,0,UNVERIFIED,Could not find exact 5TC context,
2021-01-11,2020.0,,https://www.drycargomag.com/dry-bulk-week-1-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-01-18,26489.0,8.814,https://www.drycargomag.com/dry-bulk-week-2-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-01-25,24631.0,7.873,https://www.drycargomag.com/dry-bulk-week-3-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-02-01,15675.0,6.145,https://www.drycargomag.com/dry-bulk-week-4-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-02-15,10304.0,5.827,https://www.drycargomag.com/dry-bulk-week-6-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-02-22,14224.0,5.82,https://www.drycargomag.com/dry-bulk-week-7-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-03-01,14224.0,,https://www.drycargomag.com/dry-bulk-week-8-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-03-08,14794.0,,https://www.drycargomag.com/dry-bulk-week-9-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-03-15,14794.0,9.623,https://www.drycargomag.com/dry-bulk-week-10-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-03-22,19437.0,9.155,https://www.drycargomag.com/dry-bulk-week-11-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-03-29,19437.0,,https://www.drycargomag.com/dry-bulk-week-12-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-04-12,23911.0,,https://www.drycargomag.com/dry-bulk-week-14-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-04-19,23911.0,11.368,https://www.drycargomag.com/dry-bulk-week-15,0,UNVERIFIED,Could not find exact 5TC context,
2021-04-26,34762.0,,https://www.drycargomag.com/dry-bulk-week-16-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-05-04,40608.0,13.241,https://www.drycargomag.com/dry-bulk-week-17-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-05-10,40608.0,14.427,https://www.drycargomag.com/dry-bulk-week-18-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-05-17,34542.0,12.173,https://www.drycargomag.com/dry-bulk-week-19,0,UNVERIFIED,Could not find exact 5TC context,
2021-05-24,32593.0,,https://www.drycargomag.com/dry-bulk-week-20-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-06-07,20933.0,,https://www.drycargomag.com/dry-bulk-week-22-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-06-14,19845.0,,https://www.drycargomag.com/dry-bulk-week-23-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-07-05,29106.0,34.0,https://www.drycargomag.com/dry-bulk-week-26-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-07-19,28572.0,10.841,https://www.drycargomag.com/dry-bulk-week-28-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-07-26,32469.0,2.5,https://www.drycargomag.com/dry-bulk-week-29-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-08-02,35713.0,,https://www.drycargomag.com/dry-bulk-week-30-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-08-09,36150.0,,https://www.drycargomag.com/dry-bulk-week-31-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-08-16,4766.0,14.0,https://www.drycargomag.com/dry-bulk-week-32-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-08-31,6162.0,15.0,https://www.drycargomag.com/dry-bulk-week-34-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-09-06,46647.0,13.668,https://www.drycargomag.com/dry-bulk-week-35-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-09-27,53240.0,3.0,https://www.drycargomag.com/dry-bulk-week-38-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-10-11,83865.0,,https://www.drycargomag.com/dry-bulk-week-40-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-10-25,,16.732,https://www.drycargomag.com/dry-bulk-week-42-2021,0,NO_5TC_VALUE,No extracted 5TC value,
2021-11-01,36065.0,,https://www.drycargomag.com/dry-bulk-week-43-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-11-08,27199.0,10.85,https://www.drycargomag.com/dry-bulk-week-44-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-11-15,31811.0,12.923,https://www.drycargomag.com/dry-bulk-week-45-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-11-22,29938.0,,https://www.drycargomag.com/dry-bulk-week-46-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-11-29,32393.0,12.164,https://www.drycargomag.com/dry-bulk-week-47-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-12-06,4594.0,29.14,https://www.drycargomag.com/dry-bulk-week-48-2021,0,UNVERIFIED,Could not find exact 5TC context,
2021-12-13,40035.0,13.732,https://www.drycargomag.com/dry-bulk-week-49-2021,0,UNVERIFIED,Could not find exact 5TC context,
2022-01-10,20167.0,9.632,https://www.drycargomag.com/dry-bulk-week-1-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-01-17,12407.0,7.014,https://www.drycargomag.com/dry-bulk-week-2-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-01-24,7390.0,6.786,https://www.drycargomag.com/dry-bulk-week-3-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-01-31,7390.0,7.523,https://www.drycargomag.com/dry-bulk-week-4-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-02-07,10302.0,7.164,https://www.drycargomag.com/dry-bulk-week-5-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-02-14,15397.0,8.559,https://www.drycargomag.com/dry-bulk-report-week-6-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-02-21,13888.0,,https://www.drycargomag.com/dry-bulk-week-7-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-02-28,14026.0,8.8,https://www.drycargomag.com/dry-bulk-report-week-8-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-03-14,22195.0,,https://www.drycargomag.com/dry-bulk-week-10-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-03-21,21604.0,,https://www.drycargomag.com/dry-bulk-week-11-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-03-28,15648.0,11.641,https://www.drycargomag.com/dry-bulk-week-122022,0,UNVERIFIED,Could not find exact 5TC context,
2022-04-04,15460.0,10.641,https://www.drycargomag.com/dry-bulk-week-13-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-04-25,15299.0,10.741,https://www.drycargomag.com/dry-bulk-week-16-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-05-03,2003.0,12.245,https://www.drycargomag.com/dry-bulk-week-17-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-05-09,24002.0,,https://www.drycargomag.com/dry-bulk-week-18-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-05-16,32733.0,15.077,https://www.drycargomag.com/dry-bulk-week-19-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-05-23,37538.0,,https://www.drycargomag.com/dry-bulk-week-20-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-06-13,19665.0,31.37,https://www.drycargomag.com/dry-bulk-week-23-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-06-20,24776.0,13.49,https://www.drycargomag.com/dry-bulk-week-24-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-06-27,19875.0,,https://www.drycargomag.com/dry-bulk-week-25-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-07-04,19745.0,11.535,https://www.drycargomag.com/dry-bulk-week-26-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-07-11,18825.0,,https://www.drycargomag.com/dry-bulk-week-27-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-07-18,24209.0,,https://www.drycargomag.com/dry-bulk-week-28-2022,0,UNVERIFIED,Could not find exact 5TC context,
2022-10-17,17965.0,,https://www.drycargomag.com/flat-week-for-dry-bulk-shipping,0,UNVERIFIED,Could not find exact 5TC context,
2023-02-20,2246.0,6.3,https://www.drycargomag.com/dry-bulk-shipping-report-0723,0,UNVERIFIED,Could not find exact 5TC context,
2023-02-27,2246.0,,https://www.drycargomag.com/dry-bulk-shipping-report-0823,0,UNVERIFIED,Could not find exact 5TC context,
2023-03-13,14466.0,,https://www.drycargomag.com/dry-bulk-shipping-report-1023,0,UNVERIFIED,Could not find exact 5TC context,
2023-04-03,13806.0,,https://www.drycargomag.com/dry-bulk-shipping-report-1323,0,UNVERIFIED,Could not find exact 5TC context,
2023-04-17,15849.0,,https://www.drycargomag.com/dry-bulk-shipping-report-1523,0,UNVERIFIED,Could not find exact 5TC context,
2023-06-26,12375.0,,https://www.drycargomag.com/dry-bulk-shipping-report-2523,0,UNVERIFIED,Could not find exact 5TC context,
2023-10-09,5801.0,,https://www.drycargomag.com/dry-bulk-shipping-report-4023,0,UNVERIFIED,Could not find exact 5TC context,
2024-01-15,29851.0,,https://www.drycargomag.com/shipping-market-remains-subdued,0,UNVERIFIED,Could not find exact 5TC context,
2024-01-29,17708.0,,https://www.drycargomag.com/positive-sentiment-returns-to-dry-bulk-market,0,UNVERIFIED,Could not find exact 5TC context,
2024-10-14,23509.0,10.0,https://www.drycargomag.com/soft-week-for-dry-bulk-sector-market,0,UNVERIFIED,Could not find exact 5TC context,
2025-03-17,23697.0,11.58,https://www.drycargomag.com/a-positive-week-for-the-dry-bulk-sector,0,UNVERIFIED,Could not find exact 5TC context,
2025-06-23,23879.0,11.0,https://www.drycargomag.com/a-subdued-week-for-dry-bulk-shipping-market,0,UNVERIFIED,Could not find exact 5TC context,
2025-11-24,27000.0,24.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report,0,UNVERIFIED,Could not find exact 5TC context,
2026-01-12,23947.0,8.3,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-226,0,UNVERIFIED,Could not find exact 5TC context,
2026-01-19,13120.0,7.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-326,0,UNVERIFIED,Could not find exact 5TC context,
2026-01-26,14504.0,8.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-0426,0,UNVERIFIED,Could not find exact 5TC context,
2026-02-02,15686.0,9.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-0526,0,UNVERIFIED,Could not find exact 5TC context,
2026-02-09,26468.0,9.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-0626,0,UNVERIFIED,Could not find exact 5TC context,
2026-02-16,25692.0,25.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-072026,0,UNVERIFIED,Could not find exact 5TC context,
2026-02-23,16543.0,9.5,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-826,0,UNVERIFIED,Could not find exact 5TC context,
2026-03-02,17481.0,10.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-926,0,UNVERIFIED,Could not find exact 5TC context,
2026-03-10,17656.0,11.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1026,0,UNVERIFIED,Could not find exact 5TC context,
2026-03-16,16546.0,12.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1126,0,UNVERIFIED,Could not find exact 5TC context,
2026-03-23,17132.0,13.475,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1226,0,UNVERIFIED,Could not find exact 5TC context,
2026-03-30,15800.0,10.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1326,0,UNVERIFIED,Could not find exact 5TC context,
2026-04-20,17773.0,12.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1626,0,UNVERIFIED,Could not find exact 5TC context,
2026-04-27,17638.0,13.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1726,0,UNVERIFIED,Could not find exact 5TC context,
2026-05-11,44941.0,15.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1926,0,UNVERIFIED,Could not find exact 5TC context,
2026-06-01,21086.0,16.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2226,0,UNVERIFIED,Could not find exact 5TC context,
2026-06-08,44374.0,15.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2326,0,UNVERIFIED,Could not find exact 5TC context,
2026-06-15,37251.0,11.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2426,0,UNVERIFIED,Could not find exact 5TC context,
2026-06-22,37631.0,10.8,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2526,0,UNVERIFIED,Could not find exact 5TC context,
2026-06-29,33014.0,11.65,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2626,0,UNVERIFIED,Could not find exact 5TC context,
2026-07-06,37181.0,10.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2726,0,UNVERIFIED,Could not find exact 5TC context,
2026-07-13,38500.0,12.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2826,0,UNVERIFIED,Could not find exact 5TC context,
2026-07-20,43086.0,13.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2926,0,UNVERIFIED,Could not find exact 5TC context,
2026-07-27,38860.0,12.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-3026,0,UNVERIFIED,Could not find exact 5TC context,
2026-08-03,,12.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-3126,0,NO_5TC_VALUE,No extracted 5TC value,
2026-08-10,46512.0,14.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-3226,0,UNVERIFIED,Could not find exact 5TC context,
2026-08-17,41155.0,16.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-3326,0,UNVERIFIED,Could not find exact 5TC context,
2026-08-24,23000.0,14.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-3426,0,UNVERIFIED,Could not find exact 5TC context,
