contract_id,route_id,origin,destination,cargo_type,contract_volume_mt,imo,vessel_name,vessel_dwt,vessel_class,contract_class,vessel_class_norm,contract_class_norm,exact_class_match,cross_class,departure_date,estimated_eta,bear_rate,base_rate,bull_rate,bear_sail,base_sail,bull_sail,bear_incremental,base_incremental,bull_incremental,worst_incremental,expected_incremental,capacity_ok,route_size_status,production_flag,production_status,production_eligible,review_only,eligibility_reason,automatic_optimizer_allowed
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",coking coal,69943.75,9324502,WHITE ROSE,171827.0,CAPE,PANAMAX,CAPE,PANAMAX,False,True,2026-08-30 00:00:00+00:00,2026-09-18 02:33:33.020025825+00:00,36.09587900705407,47.0,67.20481298309544,1874981.748431504,2637656.861131865,4050857.249218247,1974981.748431504,2737656.861131865,4150857.249218247,1974981.748431504,2954498.619593872,True,ABOVE_ROUTE_TYPICAL_RANGE,REVIEW_LARGE_VESSEL,REVIEW_ONLY_CROSS_CLASS,False,True,CROSS_CLASS_REQUIRES_REVIEW,False
CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",coal,69943.75,9603398,CAPE RAINBOW,207886.0,CAPE,PANAMAX,CAPE,PANAMAX,False,True,2026-09-02 00:00:00+00:00,2026-09-21 02:33:33.020025825+00:00,21.388728305243745,27.85,39.82242641657889,846308.4765317576,1298234.0486318655,2135630.448806456,946308.4765317576,1398234.0486318655,2235630.448806456,946308.4765317576,1526724.3246566926,True,ABOVE_ROUTE_TYPICAL_RANGE,REVIEW_LARGE_VESSEL,REVIEW_ONLY_CROSS_CLASS,False,True,CROSS_CLASS_REQUIRES_REVIEW,False
CONTRACT_010,10,Indonesia,"Paradip, India",thermal coal,51893.75,9465186,ES GLORY SEA,177000.0,CAPE,SUPRAMAX,CAPE,SUPRAMAX,False,True,2026-09-06 00:00:00+00:00,2026-09-16 22:55:19.195249904+00:00,16.35834516702663,21.3,30.456649288083675,485438.12519193976,741879.1256805515,1217051.9946740435,585438.1251919398,841879.1256805515,1317051.9946740435,585438.1251919398,914789.7485155116,True,ABOVE_ROUTE_TYPICAL_RANGE,REVIEW_LARGE_VESSEL,REVIEW_ONLY_CROSS_CLASS,False,True,CROSS_CLASS_REQUIRES_REVIEW,False
CONTRACT_013,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",steam coal,51893.75,9519779,MINERAL STONEHENGE,175713.0,CAPE,SUPRAMAX,CAPE,SUPRAMAX,False,True,2026-09-07 00:00:00+00:00,2026-09-22 15:09:31.159862762+00:00,20.35193178057304,26.5,37.89207540536232,528464.0519841664,847510.3671460542,1438687.8802130749,628464.0519841664,947510.3671460542,1538687.8802130749,628464.0519841664,1038220.7664477652,True,ABOVE_ROUTE_TYPICAL_RANGE,REVIEW_LARGE_VESSEL,REVIEW_ONLY_CROSS_CLASS,False,True,CROSS_CLASS_REQUIRES_REVIEW,False
CONTRACT_020,20,East Coast Australia,East Coast India,coal,69943.75,9587350,ANABELA,177029.0,CAPE,PANAMAX,CAPE,PANAMAX,False,True,2026-09-07 00:00:00+00:00,2026-09-27 12:08:52.530079941+00:00,13.593554434571423,17.7,25.30904659150615,251940.24018494028,539160.4422018853,1071365.6947365436,351940.2401849403,639160.4422018853,1171365.6947365436,351940.2401849403,720822.1257077897,True,ABOVE_ROUTE_TYPICAL_RANGE,REVIEW_LARGE_VESSEL,REVIEW_ONLY_CROSS_CLASS,False,True,CROSS_CLASS_REQUIRES_REVIEW,False
