metric,value
step51u_input_rows,358
economic_candidate_rows,358
input_contracts,16
input_vessels,6
input_routes,16
temporal_conflict_edges,10890
final_sail_contracts,6
final_kill_contracts,10
final_sail_vessels,6
final_sail_routes,6
positive_worst_case_candidates,358
contract_violations,0
capacity_violations,0
class_violations,0
temporal_overlap_violations,0
max_sail_violation,0
myshiptracking_api_calls,0
myshiptracking_credits_consumed,0
oilpriceapi_calls,0
