date,iron_ore_price,iron_ore_change_1m,iron_ore_change_3m,iron_ore_ma_3m
2019-01-01,75.2,,,
2019-02-01,87.59,0.16476063829787235,,
2019-03-01,87.07142857142857,-0.005920441015771605,,83.28714285714285
2019-04-01,94.5,0.08531583264971299,0.25664893617021267,89.72047619047619
2019-05-01,101.7608695652174,0.0768345985737291,0.16178638617670282,94.44409937888197
2019-06-01,109.55,0.07654347361674829,0.25816242821985225,101.93695652173913
2019-07-01,119.5869565217391,0.09161986783878695,0.2654704393834826,110.29927536231884
2019-08-01,93.5,-0.21814215597164133,-0.08117923520615267,107.54565217391303
2019-09-01,92.26190476190476,-0.013241660300483904,-0.15781008889178672,101.78295376121461
2019-10-01,88.58695652173913,-0.03983169705469847,-0.2592255953463005,91.4496204278813
2019-11-01,82.9047619047619,-0.06414256500146076,-0.11331805449452514,87.91787439613528
2019-12-01,90.97727272727272,0.0973708944702627,-0.01392375366568921,87.48966371792459
2020-01-01,95.21739130434784,0.04660634958563703,0.0748466257668714,89.69980864546083
2020-02-01,87.625,-0.07973744292237461,0.05693566915565773,91.27322134387352
2020-03-01,88.6590909090909,0.011801322785630841,-0.02548088933300019,90.50049407114625
2020-04-01,83.75,-0.055370417841579034,-0.12043378995433807,86.6780303030303
2020-05-01,91.33333333333331,0.09054726368159183,0.042320494531621344,87.9141414141414
2020-06-01,103.34090909090908,0.13146980756469828,0.16559856447064836,92.80808080808079
2020-07-01,108.0217391304348,0.045295034470888895,0.28981181051265437,100.89866051822573
2020-08-01,120.0714285714286,0.11154874507661794,0.3146506777893645,110.47802559759083
2020-09-01,123.0,0.024390243902438824,0.19023531999120302,117.03105590062114
2020-10-01,119.25,-0.030487804878048808,0.10394445562487409,120.77380952380952
2020-11-01,123.5238095238095,0.03583907357492255,0.028752726551655394,121.92460317460318
2020-12-01,153.0652173913043,0.23915557641379737,0.2444326617179211,131.94634230503792
2021-01-01,166.7380952380952,0.08932713832586026,0.3982230208645301,147.77570738440298
2021-02-01,162.325,-0.026467228330715353,0.31411912104857365,160.70943754313316
2021-03-01,166.7391304347826,0.02719316454509535,0.08933390143445563,165.26740855762594
2021-04-01,178.25,0.06903520208604963,0.06904183921176665,169.1047101449275
2021-05-01,202.8571428571429,0.13804848727709906,0.24969747640315965,182.61542443064184
2021-06-01,215.81578947368416,0.06388065233506257,0.29433198380566794,198.97431077694236
2021-07-01,214.34090909090912,-0.0068339781179674874,0.20247354328700773,211.0046138072454
2021-08-01,162.0909090909091,-0.24377054395080067,-0.20096030729833558,197.4158692185008
2021-09-01,113.71875,-0.29842610768367916,-0.47307492988659905,163.38352272727275
2021-10-01,114.4761904761905,0.006660647221240934,-0.4659153450373893,130.0952831890332
2021-11-01,90.13157894736842,-0.21266091601716453,-0.4439442689730495,106.10883980785297
2021-12-01,110.4565217391304,0.2255030149158992,-0.028686810757853065,105.0214303875631
2022-01-01,133.0454545454545,0.20450519761678998,0.16221070942368732,111.21118507731778
2022-02-01,139.7,0.05001708233686397,0.5499562043795618,127.73399209486162
2022-03-01,147.3478260869565,0.05474463913354688,0.3339893721708329,140.031093544137
2022-04-01,146.6666666666667,-0.004622799252483101,0.10238013893634057,144.57149758454105
2022-05-01,131.0909090909091,-0.10619834710743825,-0.061625561267651396,141.7018006148441
2022-06-01,131.0454545454545,-0.00034674063800310684,-0.11063869738995158,136.26767676767676
2022-07-01,109.047619047619,-0.16786416266124915,-0.2564935064935071,123.7279942279942
2022-08-01,109.0652173913043,0.00016138219100070295,-0.16801845263221404,116.3860969947926
2022-09-01,100.84090909090908,-0.07540725170782947,-0.2304890738813734,106.31791517661078
2022-10-01,94.61904761904762,-0.06169977569571883,-0.13231441048034887,101.50839136708701
2022-11-01,94.5681818181818,-0.0005375852129754222,-0.13292079656440814,96.67604617604616
2022-12-01,111.40909090909092,0.17808219178082219,0.10480054090601776,100.19877344877345
2023-01-01,122.4318181818182,0.09893920848633209,0.2939447316649131,109.46969696969695
2023-02-01,127.075,0.03792463337664742,0.3437394857005531,120.30530303030304
2023-03-01,127.9782608695652,0.007108092619045436,0.14872367977577894,125.82835968379447
2023-04-01,117.125,-0.0848055036521147,-0.04334509003155762,124.05942028985505
2023-05-01,104.5217391304348,-0.10760521553524183,-0.1774799202798757,116.54166666666667
2023-06-01,113.09090909090908,0.08198457116926305,-0.11632719242707357,111.5792160737813
2023-07-01,113.9761904761905,0.007828050834481903,-0.0268841794989072,110.52961289917812
2023-08-01,109.60869565217392,-0.03831936131370295,0.04866888519134771,112.22526507309117
2023-09-01,120.4285714285714,0.09871366237887425,0.06488286632981155,114.6711525189786
2023-10-01,118.75,-0.013938315539738788,0.04188426989763916,116.26242236024844
2023-11-01,131.25,0.10526315789473695,0.19744149147163825,123.47619047619047
2023-12-01,137.547619047619,0.04798185941043065,0.14215104784499788,129.18253968253967
2024-01-01,136.5869565217391,-0.0069842177751352486,0.15020594965675027,135.1281918564527
2024-02-01,125.9285714285714,-0.07803369636888657,-0.04054421768707506,133.35438233264315
2024-03-01,110.1904761904762,-0.12497636604272988,-0.1988921585598058,124.23533471359555
2024-04-01,112.22727272727272,0.01848432466409977,-0.17834560791746834,116.11544011544011
2024-05-01,119.2391304347826,0.06247908852378181,-0.05312091543564568,113.88562645084384
2024-06-01,108.1,-0.09341841385597083,-0.018971477960242122,113.18880105401844
2024-07-01,107.39130434782608,-0.006555926477094465,-0.04309084825752374,111.57681159420288
2024-08-01,100.90909090909092,-0.06036069193963911,-0.15372503522002134,105.46679841897235
2024-09-01,96.23809523809524,-0.04628914628914638,-0.10973084886128359,101.51283016500408
2024-10-01,106.60869565217392,0.1077598261730095,-0.0072874493927124195,101.25196059978668
2024-11-01,103.9761904761905,-0.024693156218441592,0.030394680394680407,102.27432712215322
2024-12-01,105.34090909090908,0.013125299248495592,0.09458638837659117,105.3085984064245
2025-01-01,103.7826086956522,-0.014792927161014546,-0.026508972267536568,104.36656942091726
2025-02-01,108.2,0.04256388772517772,0.040622853217311405,105.77450592885377
2025-03-01,103.652380952381,-0.04202975090220895,-0.01602917758257516,105.21166321601106
2025-04-01,100.90909090909092,-0.026466252083011677,-0.027687854667326928,104.25382395382398
2025-05-01,100.27272727272728,-0.006306306306306353,-0.07326499747941517,101.61139971139973
2025-06-01,96.16666666666669,-0.04094892716832865,-0.07221941471034155,99.11616161616162
2025-07-01,101.2173913043478,0.052520533494084365,0.003055229142185256,99.21892841458059
2025-08-01,103.28571428571432,0.020434462444772317,0.030047921253723908,100.22325741890961
2025-09-01,106.40909090909092,0.030240160945554928,0.10650701118638728,103.63739883305101
2025-10-01,106.8695652173913,0.004327396318926979,0.055841924398625675,105.52145680406551
2025-11-01,106.23,-0.005984540276647632,0.028506224066389807,106.50288537549407
2025-12-01,107.5863636363636,0.012768178822965215,0.011063648013668992,106.8953096179183
2026-01-01,107.4454545454545,-0.0013097300266172729,0.005388712182853306,107.0872727272727
2026-02-01,100.965,-0.06031390134529102,-0.04956227054504381,105.3322727272727
2026-03-01,107.5772727272727,0.06549074161613122,-8.44987113945983e-05,105.3292424242424
