date,bdi
2026-05-22,2991.0
2026-07-24,2743.0
2026-07-27,2696.0
2026-07-28,2664.0
2026-07-29,2632.0
2026-07-30,2673.0
2026-07-31,2732.0
2026-08-03,2843.0
2026-08-04,2936.0
2026-08-05,3063.0
2026-08-07,3089.0
2026-08-10,3083.0
2026-08-11,3046.0
2026-08-12,2939.0
2026-08-13,2844.0
2026-08-14,2863.0
2026-08-17,2878.0
2026-08-18,2815.0
2026-08-19,2776.0
2026-08-20,2791.0
2026-08-21,2841.0
2026-08-24,2882.0
2026-08-25,2926.0
2026-08-26,3056.0
