contract_id,route_id,contract_origin,contract_destination,contract_vessel_class,shipoffer_source_file,shipoffer_report_date,shipoffer_vessel_or_tbn,shipoffer_origin,shipoffer_destination,cargo_quantity_mt,shipoffer_cargo_section,contract_cargo_type,laycan_start,laycan_end,shipoffer_freight_rate,trade_relation,trade_score,cargo_compatibility,cargo_score,vessel_compatibility,vessel_score,recency_category,recency_score,laycan_category,laycan_score,operational_evidence_score,evidence_level,operational_status,score_reason,best_observation_for_contract,latest_observation_for_contract,report_age_days
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,report_00004.html,2026-06-07,TBN,coal Gladstone,Vizag,75000.0,ORE,coking coal,2026-08-05,2026-08-14,19.6,RELATED,20.0,MISMATCH,0.0,SHIP_CLASS_UNKNOWN,0.0,HISTORICAL,1.0,HISTORICAL_LAYCAN,0.0,21.0,MODERATE,HISTORICAL_OPERATIONAL_EVIDENCE,trade=RELATED:20.0 | cargo=MISMATCH:0.0 | vessel=SHIP_CLASS_UNKNOWN:0.0 | recency=HISTORICAL:1.0 | laycan=HISTORICAL_LAYCAN:0.0,True,False,82
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,report_00006.html,2026-07-13,TBN,coal HPCT-APCT-DBCT-Gladstone,Vizag,75000.0,ORE,coking coal,2026-08-10,2026-08-19,21.5,RELATED,20.0,MISMATCH,0.0,SHIP_CLASS_UNKNOWN,0.0,HISTORICAL,1.0,HISTORICAL_LAYCAN,0.0,21.0,MODERATE,HISTORICAL_OPERATIONAL_EVIDENCE,trade=RELATED:20.0 | cargo=MISMATCH:0.0 | vessel=SHIP_CLASS_UNKNOWN:0.0 | recency=HISTORICAL:1.0 | laycan=HISTORICAL_LAYCAN:0.0,False,True,46
