candidate_id,imo,mmsi,vessel_name,candidate_vessel_class,dwt,dwt_class,gt,built,vessel_age_years,draught,size_a,size_b,flag,lat,lon,speed,avg_sog,max_sog,course,nav_status,destination,last_port,last_port_unloco,last_port_dep_utc,next_port,next_port_unloco,next_port_eta_utc,freshness_minutes,observation_count,first_observation_timestamp,last_observation_timestamp,mean_reported_speed,max_reported_speed,min_reported_speed,mean_freshness_minutes,has_extended_metadata,has_dwt,has_reported_speed,has_avg_sog,has_position,ais_fresh,has_multiple_observations,metadata_non_null_count,metadata_completeness,candidate_usable,candidate_source,source_file,vessel_name_extended,mmsi_extended,vessel_type_extended,vtype_extended,dwt_extended,gt_extended,built_extended,draught_extended,flag_extended,callsign_extended,destination_extended,last_port_extended,last_port_departure_extended,next_port_extended,next_port_eta_extended,avg_sog_extended,max_sog_extended,wind_knots_extended,temperature_extended,humidity_extended,pressure_extended,visibility_extended,dwt_final,built_final,draught_final,next_port_final,next_port_eta_final,last_port_final,destination_final,avg_sog_final,dwt_class_from_final_dwt,dwt_class_enriched,has_local_extended_metadata,has_extended_dwt,has_final_dwt,metadata_completeness_score,optimizer_vessel_ready,optimizer_capacity_ready
IMO_9700823,9700823,352286000,CAPE HOPE,BULK_CARRIER,,UNKNOWN,,,,9.8,258.0,41.0,PA,-23.8005,151.49697,0.2,11.2,15.9,125.0,1,,MIZUSHIMA,JPMIZ,2026-07-19T02:00:29Z,,,,73.71666666666667,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.2,0.2,0.2,71.19166666666666,True,False,True,True,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9700823_20260828T042121Z.json,CAPE HOPE,352286000.0,Cargo,7.0,,,,9.8,PA,3FNK4,AU GLT,MIZUSHIMA,2026-07-19T02:00:29Z,,,11.2,15.9,12.0,19.9,73.7,1022.7,24135.3,,,9.8,,,MIZUSHIMA,AU GLT,11.2,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.4,True,False
IMO_9877872,9877872,538009641,SDTR ERICA,BULK_CARRIER,,UNKNOWN,,,,12.5,195.0,32.0,MH,-23.85242,151.61422,0.0,10.1,14.3,231.0,1,,HUANGHUA,CNHNH,2026-08-03T04:28:41Z,GLADSTONE,AUGLT,2026-08-24T14:45:00Z,73.71666666666667,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,71.19166666666666,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9877872_20260828T042132Z.json,SDTR ERICA,538009641.0,Cargo,7.0,,,,12.5,MH,V7A4987,AU AMR>AU GLT,HUANGHUA,2026-08-03T04:28:41Z,GLADSTONE,2026-08-24T14:45:00Z,10.1,14.3,12.0,19.9,73.7,1022.7,24135.3,,,12.5,GLADSTONE,2026-08-24T14:45:00Z,HUANGHUA,AU AMR>AU GLT,10.1,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.6,True,False
IMO_9523201,9523201,413985000,YUN LONG FENG,BULK_CARRIER,,UNKNOWN,,,,7.3,193.0,32.0,CN,-23.8292,151.58686,0.1,10.5,13.7,119.0,1,,RIZHAO,CNRZH,2026-08-02T23:04:35Z,GLADSTONE,AUGLT,2026-08-21T09:00:00Z,73.73333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,71.20833333333334,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9523201_20260828T042132Z.json,YUN LONG FENG,413985000.0,Cargo,7.0,,,,7.3,CN,BRPH,AU GLT,RIZHAO,2026-08-02T23:04:35Z,GLADSTONE,2026-08-21T09:00:00Z,10.5,13.7,12.0,19.9,73.7,1022.7,24135.3,,,7.3,GLADSTONE,2026-08-21T09:00:00Z,RIZHAO,AU GLT,10.5,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.6,True,False
IMO_9906740,9906740,636021216,TAHO CIRCULAR,BULK_CARRIER,,UNKNOWN,,,,7.4,198.0,31.0,LR,-23.8323,151.49698,0.0,11.1,15.5,62.0,1,,GLADSTONE,AUGLT,2026-06-26T20:27:15Z,,,,74.15,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,71.625,True,False,True,True,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9906740_20260828T042130Z.json,TAHO CIRCULAR,636021216.0,Cargo,7.0,,,,7.4,LR,5LCV7,AUGLT,GLADSTONE,2026-06-26T20:27:15Z,,,11.1,15.5,12.0,19.9,73.7,1022.7,24135.3,,,7.4,,,GLADSTONE,AUGLT,11.1,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.4,True,False
IMO_9889306,9889306,352393000,AZUL TIERRA,BULK_CARRIER,,UNKNOWN,,,,10.9,261.0,39.0,PA,-23.79716,151.5176,0.1,9.7,12.3,181.0,1,,DALRYMPLE,AUHPT,2026-08-25T22:12:50Z,GLADSTONE,AUGLT,2026-08-26T21:00:00Z,74.6,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,72.07499999999999,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9889306_20260828T042136Z.json,AZUL TIERRA,352393000.0,Cargo,7.0,,,,10.9,PA,H9PH,AU GLT,DALRYMPLE,2026-08-25T22:12:50Z,GLADSTONE,2026-08-26T21:00:00Z,9.7,12.3,12.0,19.9,73.7,1022.7,24135.3,,,10.9,GLADSTONE,2026-08-26T21:00:00Z,DALRYMPLE,AU GLT,9.7,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.6,True,False
IMO_9465186,9465186,636019494,ES GLORY SEA,BULK_CARRIER,177000.0,CAPE,91407.0,2007.0,19.0,9.4,251.0,41.0,LR,-23.75762,151.47274,0.1,9.6,12.8,64.0,1,,JINGTANG,CNTAS,2026-08-01T05:40:30Z,GLADSTONE,AUGLT,2026-08-19T20:00:00Z,74.65,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,72.125,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9465186_20260828T042122Z.json,ES GLORY SEA,636019494.0,Bulk Carrier,7.0,177000.0,91407.0,2007.0,9.4,LR,D5UT9,GLADSTONE AUS,JINGTANG,2026-08-01T05:40:30Z,GLADSTONE,2026-08-19T20:00:00Z,9.6,12.8,12.0,19.9,73.7,1022.7,24135.3,177000.0,2007.0,9.4,GLADSTONE,2026-08-19T20:00:00Z,JINGTANG,GLADSTONE AUS,9.6,CAPE,CAPE,True,True,True,1.0,True,True
IMO_9713442,9713442,372754000,CAPE HARVEST,BULK_CARRIER,,UNKNOWN,,,,8.8,260.0,40.0,PA,-23.84951,151.45999,0.3,10.2,15.8,126.0,1,,MIZUSHIMA,JPMIZ,2026-08-02T05:32:38Z,,,,74.73333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.3,0.3,0.3,72.20833333333334,True,False,True,True,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9713442_20260828T042120Z.json,CAPE HARVEST,372754000.0,Cargo,7.0,,,,8.8,PA,3FIT2,AUGLT,MIZUSHIMA,2026-08-02T05:32:38Z,,,10.2,15.8,12.0,19.9,73.7,1022.7,24135.3,,,8.8,,,MIZUSHIMA,AUGLT,10.2,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.4,True,False
IMO_9324502,9324502,440422000,WHITE ROSE,BULK_CARRIER,171827.0,CAPE,89097.0,2006.0,20.0,9.3,247.0,42.0,KR,-23.79759,151.47986,0.3,11.3,14.6,133.0,1,,GWANGYANG,KRKAN,2026-08-11T22:32:44Z,GLADSTONE,AUGLT,2026-08-25T23:00:00Z,74.75,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.3,0.3,0.3,72.225,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9324502_20260828T042136Z.json,WHITE ROSE,440422000.0,Bulk Carrier,7.0,171827.0,89097.0,2006.0,9.3,KR,D7KJ,AUGLT,GWANGYANG,2026-08-11T22:32:44Z,GLADSTONE,2026-08-25T23:00:00Z,11.3,14.6,12.0,19.9,73.7,1022.7,24135.3,171827.0,2006.0,9.3,GLADSTONE,2026-08-25T23:00:00Z,GWANGYANG,AUGLT,11.3,CAPE,CAPE,True,True,True,1.0,True,True
IMO_9689897,9689897,565285000,STRATEGIC HARMONY,BULK_CARRIER,,UNKNOWN,,,,6.8,155.0,25.0,SG,-23.85092,151.47758,0.0,9.8,13.8,86.0,1,,LUMUT,MYLUM,2026-08-01T09:13:54Z,GLADSTONE,AUGLT,2026-08-21T12:00:00Z,74.88333333333334,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,72.35833333333333,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9689897_20260828T042135Z.json,STRATEGIC HARMONY,565285000.0,Cargo,7.0,,,,6.8,SG,9V2289,GLADSTONE,LUMUT,2026-08-01T09:13:54Z,GLADSTONE,2026-08-21T12:00:00Z,9.8,13.8,12.0,19.9,73.7,1022.7,24135.3,,,6.8,GLADSTONE,2026-08-21T12:00:00Z,LUMUT,GLADSTONE,9.8,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.6,True,False
IMO_9454905,9454905,210083000,EFESSOS WAVE,BULK_CARRIER,87332.0,PANAMAX,47984.0,2012.0,14.0,7.2,199.0,30.0,CY,-23.86487,151.59145,0.0,9.2,13.5,122.0,1,,NEWCASTLE,AUNTL,2026-06-23T07:07:31Z,GLADSTONE,AUGLT,2026-08-24T21:00:00Z,74.9,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,72.375,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9454905_20260828T042129Z.json,EFESSOS WAVE,210083000.0,Bulk Carrier,7.0,87332.0,47984.0,2012.0,7.2,CY,5BPG3,AU GLT,NEWCASTLE,2026-06-23T07:07:31Z,GLADSTONE,2026-08-24T21:00:00Z,9.2,13.5,12.0,19.9,73.7,1022.7,24135.3,87332.0,2012.0,7.2,GLADSTONE,2026-08-24T21:00:00Z,NEWCASTLE,AU GLT,9.2,PANAMAX,PANAMAX,True,True,True,1.0,True,True
