candidate_id,imo,vessel_name,mmsi,vessel_dwt,vessel_dwt_class,ais_lat,ais_lon,ais_speed_knots,ais_freshness_minutes,route_id,origin,destination,cargo_type,route_vessel_class,cargo_quantity_mt,freight_rate_usd_per_mt,freight_rate_unit,distance_nm,speed_knots,sea_days,port_days,total_voyage_days,bunker_mt_per_day,fuel_consumption_mt,live_bunker_price_usd_per_mt,bunker_fuel_grade,bunker_market_reference,bunker_updated_at,live_bunker_cost_usd,daily_opex_usd,opex_cost_usd,other_voyage_cost_usd,live_total_voyage_cost_usd,freight_revenue_usd,estimated_profit_usd,has_distance,has_speed,has_bunker_consumption,has_cargo,has_freight_rate,economics_ready,economics_source
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",coking coal,Panamax,73625.0,47.0,$/mt,4926.710066752748,12.0,17.10663217622482,2.0,19.10663217622482,30.0,573.1989652867446,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,12000.0,229279.58611469786,25000.0,695929.3888681346,3460375.0,2764445.6111318655,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,1,"Richards Bay, South Africa","Navlakhi, India",coal,Supramax,54625.0,19.35,$/mt,3938.9061722773454,12.0,13.676757542629671,2.0,15.676757542629671,30.0,470.30272627889013,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,362368.2505978848,12000.0,188121.09051155605,25000.0,575489.3411094409,1056993.75,481504.4088905591,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,2,"Hay Point, Australia","Paradip, India",coking coal,Panamax,73625.0,13.8,$/mt,4899.001585207413,12.0,17.010422170859073,2.0,19.010422170859073,30.0,570.3126651257721,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,439425.90847940743,12000.0,228125.06605030887,25000.0,692550.9745297163,1016025.0,323474.0254702837,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,3,"East Kalimantan, Indonesia","Navlakhi, India",coal,Supramax,54625.0,18.45,$/mt,4102.581709223877,12.0,14.245075379249572,2.0,16.24507537924957,30.0,487.35226137748714,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,375504.91739135387,12000.0,194940.90455099483,25000.0,595445.8219423487,1007831.25,412385.42805765127,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,4,"Hay Point, Australia","Visakhapatnam, India",metallurgical coal,Panamax,73625.0,23.3,$/mt,4926.710066752748,12.0,17.10663217622482,2.0,19.10663217622482,30.0,573.1989652867446,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,12000.0,229279.58611469786,25000.0,695929.3888681346,1715462.5,1019533.1111318654,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,5,"Hay Point, Australia","Paradip, India",metallurgical coal,Panamax,73625.0,21.1,$/mt,4899.001585207413,12.0,17.010422170859073,2.0,19.010422170859073,30.0,570.3126651257721,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,439425.90847940743,12000.0,228125.06605030887,25000.0,692550.9745297163,1553487.5,860936.5254702837,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",thermal coal,Panamax,73625.0,11.8,$/mt,2408.301246605427,12.0,8.362157106268844,2.0,10.362157106268844,30.0,310.8647131880653,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,239521.26151140433,12000.0,124345.88527522613,25000.0,388867.14678663044,868775.0,479907.85321336956,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,7,"East Kalimantan, Indonesia","Paradip, India",coal,Supramax,54625.0,16.05,$/mt,2752.598463285374,12.0,9.557633553074215,2.0,11.557633553074215,30.0,346.7290065922264,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,12000.0,138691.60263689057,25000.0,430846.3022162011,876731.25,445884.9477837989,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",thermal coal,Panamax,73625.0,13.1,$/mt,3443.2178891213243,12.0,11.955617670560153,2.0,13.955617670560153,30.0,418.6685301168046,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,322584.10245499795,12000.0,167467.41204672185,25000.0,515051.5145017198,964487.5,449435.9854982802,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,9,"Richards Bay, South Africa","Paradip, India",thermal coal,Panamax,73625.0,18.6,$/mt,4667.806005082153,12.0,16.207659739868586,2.0,18.207659739868586,30.0,546.2297921960576,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,420870.05488706235,12000.0,218491.916878423,25000.0,664361.9717654854,1369425.0,705063.0282345146,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,10,Indonesia,"Paradip, India",thermal coal,Supramax,54625.0,21.3,$/mt,2579.0639841663437,12.0,8.95508327835536,2.0,10.95508327835536,30.0,328.65249835066084,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,253226.74997918418,12000.0,131460.99934026433,25000.0,409687.7493194485,1163512.5,753824.7506805515,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,11,"Hay Point, Australia","Visakhapatnam, India",coal,Panamax,73625.0,27.85,$/mt,4926.710066752748,12.0,17.10663217622482,2.0,19.10663217622482,30.0,573.1989652867446,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,12000.0,229279.58611469786,25000.0,695929.3888681346,2050456.25,1354526.8611318655,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,12,Mozambique (Beira / Maputo),East Coast India,coking coal,Handysize,,43.75,$/mt,4601.384016575973,12.0,15.977027835333239,2.0,17.97702783533324,30.0,539.3108350599972,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,415538.99841372785,12000.0,215724.33402399888,25000.0,656263.3324377267,,,True,True,True,False,True,False,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",steam coal,Supramax,54625.0,26.5,$/mt,3925.9038662092103,12.0,13.631610646559757,2.0,15.631610646559757,30.0,468.9483193967927,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,361324.6800952288,12000.0,187579.3277587171,25000.0,573904.0078539458,1447562.5,873658.4921460542,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,14,"East Kalimantan, Indonesia","Paradip, India",thermal coal,Supramax,54625.0,15.0,$/mt,2752.598463285374,12.0,9.557633553074215,2.0,11.557633553074215,30.0,346.7290065922264,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,267154.6995793105,12000.0,138691.60263689057,25000.0,430846.3022162011,819375.0,388528.6977837989,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
