record_type,report_date,source_file,vessel_or_tbn,build_year,vessel_dwt,vessel_class,cargo_section,cargo_quantity_mt,origin_raw,destination_raw,laycan_raw,laycan_start,laycan_end,freight_rate,rate_unit,charterer,raw_text,parse_status,parse_reason,report_age_days,latest_report_observation,current_operational_evidence,laycan_after_planning_date
VOYAGE,22.06.2026,report_00003.html,Wooyang TBN,,,,ORE,80000.0,Gladstone,Boryeong,7/16 Jul,2026-07-07,2026-07-16,15.9,$/mt,,'Wooyang TBN' 80000/10 Gladstone/Boryeong 7/16 Jul $15.90 fio 30000mtsatpmshexuu/19000ltshinc - Kepco,PARSED,OK,67,False,False,False
VOYAGE,22.06.2026,report_00003.html,,,,,ORE,,,,,,,,$/mt,,'TBN' 75000/10 APCT-HPCT-DBCT/EC India 30 Jun/9 Jul $20.15 fio 40000shinc/40000shinc - SAIL,REVIEW,VOYAGE_PATTERN_NOT_MATCHED,67,False,False,False
VOYAGE,06.07.2026,report_00004.html,TBN,,,,ORE,170000.0,Dampier,Qingdao,20/22 Jul,2026-07-20,2026-07-22,12.7,$/mt,,'TBN' 170000/10 Dampier/Qingdao 20/22 Jul $12.70 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK,53,False,False,False
VOYAGE,06.07.2026,report_00004.html,,,,,ORE,,,,,,,,$/mt,,'Frontier Wave' 2012 170000/10 Tubarao/Qingdao 30 Jul/2 Aug $31.60 fio 3 days shinc/30000shinc - Classic,REVIEW,VOYAGE_PATTERN_NOT_MATCHED,53,False,False,False
VOYAGE,06.07.2026,report_00004.html,TBN,,,,ORE,75000.0,coal Gladstone,Vizag,5/14 Aug,2026-08-05,2026-08-14,19.6,$/mt,,"COAL 'TBN' 75000/10 coal Gladstone/Vizag 5/14 Aug $19.60 fio 35,000shinc/35,000shinc - SAIL",PARSED,OK,53,False,False,False
VOYAGE,08.07.2026,report_00005.html,TBN,,,,ORE,190000.0,Port Hedland,Qingdao,23/25 Jul,2026-07-23,2026-07-25,13.2,$/mt,,'TBN' 190000/10 Port Hedland/Qingdao 23/25 Jul $13.20 fio 80000shinc/30000shinc - BHP,PARSED,OK,51,False,False,False
VOYAGE,08.07.2026,report_00005.html,TBN,,,,ORE,170000.0,Dampier,Qingdao,23/25 Jul,2026-07-23,2026-07-25,12.8,$/mt,,'TBN' 170000/10 Dampier/Qingdao 23/25 Jul $12.80 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK,51,False,False,False
VOYAGE,08.07.2026,report_00005.html,Proteus,,,,ORE,2023.0,170000/10 Tubarao/Qingdao,,24/30 Jul,2026-07-24,2026-07-30,32.5,$/mt,,'Proteus' 2023 170000/10 Tubarao/Qingdao 24/30 Jul $32.50 fio 3 days shinc/30000shinc - Classic,REVIEW,DESTINATION_NOT_PARSED,51,False,False,False
VOYAGE,08.07.2026,report_00005.html,Alba,,,,ORE,2012.0,170000/10 Tubarao/Qingdao,,25/30 Jul,2026-07-25,2026-07-30,32.5,$/mt,,'Alba' 2012 170000/10 Tubarao/Qingdao 25/30 Jul $32.50 fio 3 days shinc/30000shinc - Cosco,REVIEW,DESTINATION_NOT_PARSED,51,False,False,False
VOYAGE,08.07.2026,report_00005.html,TBN,,,,ORE,160000.0,Port Hedland,Qingdao,23/25 Jul,2026-07-23,2026-07-25,13.0,$/mt,,'TBN' 160000/10 Port Hedland/Qingdao 23/25 Jul $13.00 fio 80000shinc/30000shinc - BHP,PARSED,OK,51,False,False,False
VOYAGE,08.07.2026,report_00005.html,,,,,ORE,,,,,,,,$/mt,,COAL 'TBN' 75000/10 coal Norfolk/Paradip 25 Jul/3 Aug $47.00 fio 25000shinc/15000shinc - Avani,REVIEW,VOYAGE_PATTERN_NOT_MATCHED,51,False,False,False
VOYAGE,08.07.2026,report_00005.html,TBN,,,,ORE,75000.0,coal Nacala,Gangavaram,5/14 Aug,2026-08-05,2026-08-14,17.7,$/mt,,'TBN' 75000/10 coal Nacala/Gangavaram 5/14 Aug $17.70 fio 33000shinc/40000shinc - NSL,PARSED,OK,51,False,False,False
VOYAGE,08.07.2026,report_00005.html,TBN,,,,ORE,75000.0,coal NQXT-APCT-DBCT- Gladstone,EC India,10/19 Aug,2026-08-10,2026-08-19,19.65,$/mt,,'TBN' 75000/10 coal NQXT-APCT-DBCT- Gladstone / EC India 10/19 Aug $19.65 fio 40000shinc/40000shinc - SAIL,PARSED,OK,51,False,False,False
VOYAGE,08.07.2026,report_00005.html,TBN,,,,ORE,60000.0,grains Santos,Gdynia,14/21 Aug,2026-08-14,2026-08-21,30.9,$/mt,,GRAIN 'TBN' 60000/10 grains Santos/Gdynia 14/21 Aug $30.90 fio 8000sshex/15000sshex - LDC,PARSED,OK,51,False,False,False
VOYAGE,13.07.2026,report_00006.html,Classic TBN,,,,ORE,170000.0,Saldanha Bay,Qingdao,1/5 Aug,2026-08-01,2026-08-05,23.49,$/mt,,'Classic TBN' 170000/10 Saldanha Bay/Qingdao 1/5 Aug $23.49 fio 90000shinc/30000shinc - Ore and Metal - <10/7 fixture>,PARSED,OK,46,False,False,False
VOYAGE,13.07.2026,report_00006.html,TBN,,,,ORE,170000.0,Dampier,Qingdao,27/29 Jul,2026-07-27,2026-07-29,13.45,$/mt,,'TBN' 170000/10 Dampier/Qingdao 27/29 Jul $13.45 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK,46,False,False,False
VOYAGE,13.07.2026,report_00006.html,TBN,,,,ORE,160000.0,Port Hedland,Qingdao,27/29 Jul,2026-07-27,2026-07-29,13.45,$/mt,,'TBN' 160000/10 Port Hedland/Qingdao 27/29 Jul $13.45 fio 80000shinc/30000shinc - BHP,PARSED,OK,46,False,False,False
VOYAGE,13.07.2026,report_00006.html,TBN,,,,ORE,75000.0,coal HPCT-APCT-DBCT-Gladstone,Vizag,10/19 Aug,2026-08-10,2026-08-19,21.5,$/mt,,COAL 'TBN' 75000/10 coal HPCT-APCT-DBCT-Gladstone/Vizag 10/19 Aug $21.50 fio 40000shinc/40000shinc - SAIL,PARSED,OK,46,False,False,False
VOYAGE,21.07.2026,report_00007.html,TBN,,,,ORE,170000.0,Dampier,Qingdao,6/8 Aug,2026-08-06,2026-08-08,11.1,$/mt,,'TBN' 170000/10 Dampier/Qingdao 6/8 Aug $11.10 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK,38,False,False,False
VOYAGE,21.07.2026,report_00007.html,Excel,,,,ORE,2012.0,170000/10 Acu/Qingdao,,17/22 Aug,2026-08-17,2026-08-22,32.45,$/mt,,'Excel' 2012 170000/10 Acu/Qingdao 17/22 Aug $32.45 fio 90000shinc/30000shinc - Anglo,REVIEW,DESTINATION_NOT_PARSED,38,False,False,False
VOYAGE,21.07.2026,report_00007.html,Genco Augustus,,,,ORE,2007.0,170000/10 Tubarao option West Africa/Qingdao,,10/15 Aug,2026-08-10,2026-08-15,32.15,$/mt,,'Genco Augustus' 2007 170000/10 Tubarao option West Africa/Qingdao 10/15 Aug $32.15 fio 3 days shinc/30000shinc - Glovis,REVIEW,DESTINATION_NOT_PARSED,38,False,False,False
VOYAGE,21.07.2026,report_00007.html,Pan Ocean TBN,,,,ORE,58000.0,Abbot Point,Donghae,5/14 Aug,2026-08-05,2026-08-14,19.89,$/mt,,COAL 'Pan Ocean TBN' 58000/10 Abbot Point/Donghae 5/14 Aug $19.89 fio 25000shinc/20000shinc - Kepco,PARSED,OK,38,False,False,False
VOYAGE,29.07.2026,report_00009.html,TBN,,,,ORE,170000.0,Dampier,Qingdao,13/15 Aug,2026-08-13,2026-08-15,11.85,$/mt,,'TBN' 170000/10 Dampier/Qingdao 13/15 Aug $11.85 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK,30,False,False,False
