source_row,report_date,source_file,original_raw_text,repair_status,repair_reason,repair_raw_text,repaired_vessel_or_tbn,repaired_build_year,repaired_cargo_quantity_mt,repaired_lane_raw,repaired_origin,repaired_destination,repaired_laycan_raw,repaired_laycan_start,repaired_laycan_end,repaired_freight_rate,repaired_rate_unit,repaired_cargo_type,repaired_charterer,repaired_vessel_dwt,repaired_vessel_class,match_status,matched_contract_id,matched_route_id,match_score,match_reason,matched_contract_origin,matched_contract_destination,matched_contract_vessel_class,origin_match,destination_match,vessel_class_match,report_age_days,current_operational_evidence
12,2026-06-22,report_00003.html,'Wooyang TBN' 80000/10 Gladstone/Boryeong 7/16 Jul $15.90 fio 30000mtsatpmshexuu/19000ltshinc - Kepco,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,Wooyang TBN' 80000/10 Gladstone/Boryeong 7/16 Jul $15.90 fio 30000mtsatpmshexuu/19000ltshinc - Kepco,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,67,False
13,2026-06-22,report_00003.html,'TBN' 75000/10 APCT-HPCT-DBCT/EC India 30 Jun/9 Jul $20.15 fio 40000shinc/40000shinc - SAIL,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 75000/10 APCT-HPCT-DBCT/EC India 30 Jun/9 Jul $20.15 fio 40000shinc/40000shinc - SAIL,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,67,False
14,2026-07-06,report_00004.html,"COAL 'TBN' 75000/10 coal Gladstone/Vizag 5/14 Aug $19.60 fio 35,000shinc/35,000shinc - SAIL",PARSED,OK,"'TBN' 75000/10 coal Gladstone/Vizag 5/14 Aug $19.60 fio 35,000shinc/35,000shinc - SAIL",TBN,,75000.0,coal Gladstone/Vizag,coal Gladstone,Vizag,5/14 Aug,2026-08-05,2026-08-14,19.6,$/mt,COAL,SAIL,,,NO_MATCH,,,,No existing contract lane matched the normalized ShipOffer origin/destination.,,,,,,,53,False
15,2026-07-08,report_00005.html,'TBN' 170000/10 Dampier/Qingdao 23/25 Jul $12.80 fio 90000shinc/30000shinc - Rio Tinto,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 170000/10 Dampier/Qingdao 23/25 Jul $12.80 fio 90000shinc/30000shinc - Rio Tinto,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,51,False
16,2026-07-08,report_00005.html,'Proteus' 2023 170000/10 Tubarao/Qingdao 24/30 Jul $32.50 fio 3 days shinc/30000shinc - Classic,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,Proteus' 2023 170000/10 Tubarao/Qingdao 24/30 Jul $32.50 fio 3 days shinc/30000shinc - Classic,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,51,False
17,2026-07-08,report_00005.html,'Alba' 2012 170000/10 Tubarao/Qingdao 25/30 Jul $32.50 fio 3 days shinc/30000shinc - Cosco,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,Alba' 2012 170000/10 Tubarao/Qingdao 25/30 Jul $32.50 fio 3 days shinc/30000shinc - Cosco,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,51,False
18,2026-07-08,report_00005.html,'TBN' 160000/10 Port Hedland/Qingdao 23/25 Jul $13.00 fio 80000shinc/30000shinc - BHP,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 160000/10 Port Hedland/Qingdao 23/25 Jul $13.00 fio 80000shinc/30000shinc - BHP,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,51,False
19,2026-07-08,report_00005.html,'TBN' 75000/10 coal Nacala/Gangavaram 5/14 Aug $17.70 fio 33000shinc/40000shinc - NSL,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 75000/10 coal Nacala/Gangavaram 5/14 Aug $17.70 fio 33000shinc/40000shinc - NSL,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,51,False
20,2026-07-08,report_00005.html,'TBN' 75000/10 coal NQXT-APCT-DBCT- Gladstone / EC India 10/19 Aug $19.65 fio 40000shinc/40000shinc - SAIL,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 75000/10 coal NQXT-APCT-DBCT- Gladstone / EC India 10/19 Aug $19.65 fio 40000shinc/40000shinc - SAIL,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,51,False
21,2026-07-08,report_00005.html,GRAIN 'TBN' 60000/10 grains Santos/Gdynia 14/21 Aug $30.90 fio 8000sshex/15000sshex - LDC,PARSED,OK,'TBN' 60000/10 grains Santos/Gdynia 14/21 Aug $30.90 fio 8000sshex/15000sshex - LDC,TBN,,60000.0,grains Santos/Gdynia,grains Santos,Gdynia,14/21 Aug,2026-08-14,2026-08-21,30.9,$/mt,GRAIN,LDC,,,NO_MATCH,,,,No existing contract lane matched the normalized ShipOffer origin/destination.,,,,,,,51,False
