observation_id,source_file,source_file_type,api_snapshot_timestamp,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,vtype7_bulk_candidate,lat,lon,speed,course,nav_status,destination,zone_name,source,raw_record_index,exact_duplicate_observation,imo_observation_sequence
zone_australia_gladstone_hay_point_20260828T041615Z.json_0,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:08:00Z,68.25,9603398,373033000,CAPE RAINBOW,7,True,-23.79231,151.53191,3.9,208.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,0,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_1,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:06:34Z,69.68333333333334,9713442,372754000,CAPE HARVEST,7,True,-23.84951,151.45999,0.3,126.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,1,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_2,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:07:35Z,68.66666666666667,9700823,352286000,CAPE HOPE,7,True,-23.8005,151.49697,0.2,125.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,2,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_3,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:05:11Z,71.06666666666666,9790880,431491000,NSU VOYAGER,7,True,-23.77969,151.51859,0.1,171.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,3,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_4,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:05:23Z,70.86666666666666,9614919,431812000,SG UNITED,7,True,-23.8134,151.46051,0.2,149.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,4,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_5,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:06:39Z,69.6,9465186,636019494,ES GLORY SEA,7,True,-23.75762,151.47274,0.1,64.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,5,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_6,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:02:37Z,73.63333333333334,9519779,205580000,MINERAL STONEHENGE,7,True,-23.81305,151.49913,0.0,172.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,6,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_7,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T02:33:03Z,103.2,9587350,636019937,ANABELA,7,True,-23.76171,151.51549,0.2,189.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,7,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_8,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:19:27Z,56.8,9974149,636025078,PUTERI PAHANG,8,False,-23.82505,151.25875,9.6,308.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,8,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_9,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T02:58:07Z,78.13333333333334,9640645,538013005,V GAS OHIO,8,False,-23.77802,151.19546,0.0,132.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,9,True,1
