route_id,origin,destination,vessel_class,cargo_type,scenario,alternative_value_usd,sail_value_usd,kill_penalty_threshold_usd,threshold_interpretation,threshold_status
2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,bull,250000.0,841084.6704633171,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,bull,500000.0,841084.6704633171,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,bull,1000000.0,841084.6704633171,158915.32953668293,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,bear,0.0,275903.4710319103,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,bear,250000.0,275903.4710319103,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,bear,500000.0,275903.4710319103,224096.52896808973,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,bear,1000000.0,275903.4710319103,724096.5289680897,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,base,0.0,498031.9432861302,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,base,250000.0,498031.9432861302,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,base,500000.0,498031.9432861302,1968.0567138697952,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,base,1000000.0,498031.9432861302,501968.0567138698,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
