selection_position,contract_id,route_id,origin,destination,vessel_class,expected_profit_usd,bear_profit_usd,base_profit_usd,bull_profit_usd,economic_risk_score_usd,operational_evidence_score,operational_evidence_level,final_opportunity_score,evidence_observations,latest_operational_report,latest_report_age_days,future_laycan_count,current_operational_evidence,recommended_laycan_start,recommended_laycan_end,laycan_status,laycan_source,laycan_report_date,selection_status,maximum_routes_allowed,second_route_min_ratio,bear_profit_floor_usd
BEST,CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,3008136.94253338,2082830.510986513,2845505.6236868748,4258706.011773257,3008136.94253338,66.0,STRONG,2854721.958464178,,2026-08-19,9.0,2,False,2026-09-01,2026-09-10,FUTURE_OR_OVERLAPPING_EVIDENCE,report_00010.html,2026-08-04,TWO_ROUTES,2,0.7,0.0
SECOND,CONTRACT_023,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,2874815.767282543,2005713.6042270265,2722062.8778923973,4049423.7091183495,2874815.767282543,41.0,MODERATE,2620394.571878038,,2026-08-19,9.0,2,False,2026-09-01,2026-09-10,FUTURE_OR_OVERLAPPING_EVIDENCE,report_00010.html,2026-08-04,TWO_ROUTES,2,0.7,0.0
