route_id,origin,destination,vessel_class,cargo_type,scenario,contract_volume_mt,contract_freight_usd_per_mt,scenario_route_freight_rate,total_voyage_cost_usd,sail_value_usd,kill_penalty_usd,alternative_value_usd,kill_value_usd,incremental_sail_value_usd,decision
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,750000.0,1000000.0,250000.0,1732830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,1000000.0,0.0,-1000000.0,2982830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,1000000.0,250000.0,-750000.0,2732830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,1000000.0,500000.0,-500000.0,2482830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,1000000.0,1000000.0,0.0,1982830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,1500000.0,0.0,-1500000.0,3482830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,1500000.0,250000.0,-1250000.0,3232830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,1500000.0,500000.0,-1000000.0,2982830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,1500000.0,1000000.0,-500000.0,2482830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,2000000.0,0.0,-2000000.0,3982830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,2000000.0,250000.0,-1750000.0,3732830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,2000000.0,500000.0,-1500000.0,3482830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,47.0,36.09587900705407,541850.6263131252,1982830.510986513,2000000.0,1000000.0,-1000000.0,2982830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,0.0,0.0,0.0,2745505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,0.0,250000.0,250000.0,2495505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,0.0,500000.0,500000.0,2245505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,0.0,1000000.0,1000000.0,1745505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,50000.0,0.0,-50000.0,2795505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,50000.0,250000.0,200000.0,2545505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,50000.0,500000.0,450000.0,2295505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,50000.0,1000000.0,950000.0,1795505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,100000.0,0.0,-100000.0,2845505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,100000.0,250000.0,150000.0,2595505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,100000.0,500000.0,400000.0,2345505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,100000.0,1000000.0,900000.0,1845505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,250000.0,0.0,-250000.0,2995505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,250000.0,250000.0,0.0,2745505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,250000.0,500000.0,250000.0,2495505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,250000.0,1000000.0,750000.0,1995505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,500000.0,0.0,-500000.0,3245505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,500000.0,250000.0,-250000.0,2995505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,500000.0,500000.0,0.0,2745505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,500000.0,1000000.0,500000.0,2245505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,750000.0,0.0,-750000.0,3495505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,750000.0,250000.0,-500000.0,3245505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,750000.0,500000.0,-250000.0,2995505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,750000.0,1000000.0,250000.0,2495505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,1000000.0,0.0,-1000000.0,3745505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,1000000.0,250000.0,-750000.0,3495505.6236868748,SAIL
