candidate_id,imo,vessel_name,mmsi,vessel_dwt,vessel_dwt_class,vessel_built,ais_lat,ais_lon,ais_speed_knots,ais_course,ais_freshness_minutes,next_port,next_port_eta,route,required_vessel_class,class_compatible,match_type,reposition_distance_km,voyage_distance_nm,voyage_speed_knots,voyage_days,source,api_calls,credits_consumed
IMO_9599078,9599078,POPEYE,311001257,98730.0,PANAMAX,2013.0,-23.81556,151.2388,0.0,138.0,73.26666666666667,DALRYMPLE,2026-08-29T20:00:00Z,22,Panamax,True,STRONG,10177.005866360145,3929.0472301048458,12.0,13.642525104530714,AIS_LOCAL_ENRICHED,0,0
IMO_9599078,9599078,POPEYE,311001257,98730.0,PANAMAX,2013.0,-23.81556,151.2388,0.0,138.0,73.26666666666667,DALRYMPLE,2026-08-29T20:00:00Z,23,Capesize,False,POSITION_CAPACITY_INCOMPATIBLE,8812.092144249455,4164.634114888308,12.0,14.46053512113996,AIS_LOCAL_ENRICHED,0,0
IMO_9599078,9599078,POPEYE,311001257,98730.0,PANAMAX,2013.0,-23.81556,151.2388,0.0,138.0,73.26666666666667,DALRYMPLE,2026-08-29T20:00:00Z,24,Panamax,True,STRONG,8538.536595091187,9913.44136694391,12.0,34.42167141299969,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,0,Panamax,True,STRONG,8721.063763123377,4926.710066752748,12.0,17.10663217622482,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,1,Supramax,True,STRONG,10178.017475586532,3938.9061722773454,12.0,13.676757542629671,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,2,Panamax,True,STRONG,8563.230617629506,4899.001585207413,12.0,17.010422170859073,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,3,Supramax,True,STRONG,10178.017475586532,4102.581709223877,12.0,14.245075379249572,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,4,Panamax,True,STRONG,8721.063763123377,4926.710066752748,12.0,17.10663217622482,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,5,Panamax,True,STRONG,8563.230617629506,4899.001585207413,12.0,17.010422170859073,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,6,Panamax,True,STRONG,8839.02810932565,2408.301246605427,12.0,8.362157106268844,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,7,Supramax,True,STRONG,8563.230617629506,2752.598463285374,12.0,9.557633553074215,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,8,Panamax,True,STRONG,9919.496730984907,3443.2178891213243,12.0,11.955617670560153,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,9,Panamax,True,STRONG,8563.230617629506,4667.806005082153,12.0,16.20765973986859,AIS_LOCAL_ENRICHED,0,0
