observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vessel_type,vtype,dwt,built,draught,lat,lon,speed,course,nav_status,destination,eta,current_port,last_port,last_port_departure,next_port,next_port_eta,avg_sog,max_sog,distance_covered,wind_knots,wind_direction,humidity,pressure,temperature,visibility,zone_id,source,is_extended_verified
2026-08-28T08:59:06.909382+00:00,2026-08-28T02:58:29Z,360.63182394999995,9708318,636016900,CAROLA,Cargo,7,,,9.5,-23.89876,151.57304,0.2,146,1,TW TXG>AU GLT,2026-08-12T11:00:00.000Z,,TAICHUNG,2026-07-30T16:44:36Z,,,11.8,14.8,3863.82,10,E,77.0,1023.1,19.7,24134.9,AU_GLADSTONE_HAY_POINT,extended,True
2026-08-28T08:59:10.147167+00:00,2026-08-28T08:58:25Z,0.7524542333333333,9603398,373033000,CAPE RAINBOW,Bulk Carrier,7,207886.0,2012.0,10.0,-23.81563,151.51699,0.0,98,1,AU GLT,2026-08-28T04:00:00.000Z,,NEWCASTLE,2026-08-24T21:28:50Z,GLADSTONE,2026-08-28T04:00:00Z,9.4,13.2,731.8,12,E,76.7,1022.9,20.3,24134.9,AU_GLADSTONE_HAY_POINT,extended,True
2026-08-28T08:59:14.017258+00:00,2026-08-28T08:50:11Z,9.050290033333333,9790880,431491000,NSU VOYAGER,Cargo,7,,,9.4,-23.78151,151.51616,0.0,102,1,AU GLT,2026-08-18T07:00:00.000Z,,NAGOYA,2026-08-05T04:44:30Z,,,11.6,15.3,3865.59,12,E,76.7,1022.9,20.3,24134.9,AU_GLADSTONE_HAY_POINT,extended,True
2026-08-28T08:59:23.284168+00:00,2026-08-28T03:06:24Z,352.9880713333333,9454905,210083000,EFESSOS WAVE,Bulk Carrier,7,87332.0,2012.0,7.2,-23.86487,151.59145,0.0,122,1,AU GLT,2026-08-24T21:00:00.000Z,,NEWCASTLE,2026-06-23T07:07:31Z,GLADSTONE,2026-08-24T21:00:00Z,9.2,13.5,7522.32,12,E,76.7,1022.9,20.3,24134.9,AU_GLADSTONE_HAY_POINT,extended,True
2026-08-28T08:59:26.549825+00:00,2026-08-28T03:07:35Z,351.85916561666664,9877872,538009641,SDTR ERICA,Cargo,7,,,12.5,-23.85242,151.61422,0.0,231,1,AU AMR>AU GLT,2026-08-24T14:45:00.000Z,,HUANGHUA,2026-08-03T04:28:41Z,GLADSTONE,2026-08-24T14:45:00Z,10.1,14.3,5051.31,12,E,76.7,1022.9,20.3,24134.9,AU_GLADSTONE_HAY_POINT,extended,True
2026-08-28T08:59:29.940414+00:00,2026-08-28T03:07:34Z,351.9323418833334,9523201,413985000,YUN LONG FENG,Cargo,7,,,7.3,-23.8292,151.58686,0.1,119,1,AU GLT,2026-08-21T09:00:00.000Z,,RIZHAO,2026-08-02T23:04:35Z,GLADSTONE,2026-08-21T09:00:00Z,10.5,13.7,4454.84,12,E,76.7,1022.9,20.3,24134.9,AU_GLADSTONE_HAY_POINT,extended,True
2026-08-28T08:59:32.969768+00:00,2026-08-28T03:07:49Z,351.7328312166666,9607136,564856000,RTM DHAMBUL,Cabu Carrier,7,70373.0,2013.0,11.9,-23.83336,151.51863,0.0,251,1,AU GLT,2026-08-27T06:00:00.000Z,,WEIPA,2026-07-24T12:47:35Z,GLADSTONE,2026-08-27T06:00:00Z,11.5,14.8,8356.37,12,E,76.7,1022.9,20.3,24134.9,AU_GLADSTONE_HAY_POINT,extended,True
2026-08-28T08:59:36.320744+00:00,2026-08-28T03:06:42Z,352.9053476333333,9889306,352393000,AZUL TIERRA,Cargo,7,,,10.9,-23.79716,151.5176,0.1,181,1,AU GLT,2026-08-26T21:00:00.000Z,,DALRYMPLE,2026-08-25T22:12:50Z,GLADSTONE,2026-08-26T21:00:00Z,9.7,12.3,243.6,12,E,76.7,1022.9,20.3,24134.9,AU_GLADSTONE_HAY_POINT,extended,True
2026-08-28T08:59:39.340842+00:00,2026-08-28T03:07:48Z,351.8556828833333,9565546,351733000,CHESAPEAKE HIGHWAY,Vehicles Carrier,7,21643.0,2010.0,9.4,-23.86656,151.57271,0.1,116,1,AUGLT,2026-08-27T03:30:00.000Z,,SINGAPORE,2026-08-18T12:51:26Z,GLADSTONE,2026-08-27T03:30:00Z,16.5,19.6,3582.09,12,E,76.7,1022.9,20.3,24134.9,AU_GLADSTONE_HAY_POINT,extended,True
